	好了，哥几个。声音行吗？声音。
	那那你如果你是一直高位套起来，今天你高兴很好，为什么？这是你应得的，因为你一路从上面一路下来，当时也没有止损，也没有说说评出来换别的。那你一路跟下来，对吧，就给你两根儿，我觉得这是你应该的。哥们儿，我要祝贺你我但是我不羡慕你，因为我早走了，我他妈在可控这赚钱了，我在创新药赚钱了不影响，哥们儿不影响，我有更有效率，我净值创新高。所以说我说今天如果不是说泡泡涨了15%，我他妈说了一个月，结果我他妈自己还没有泡泡，结果泡泡涨了15%。
	那我他妈今天晚上我疯了，对吗？那你想想你是这种情况吗？你是就是国泰君安或你是这种情况吗？因为对于我来讲，今天发仔三根阳线，这不挺好吗？三根阳线有问题吗？这不跟大盘一样吗？就在我的曼城阵容里边稳稳当当的，我上周还加仓了，这不踏踏实实吗？这不没没问题吗？对吗？
	所以我所以咱用第一个可能费的时间比较长，就是我先告诉大家就是如何调整心态。因为比如你们在座的很多人，很多什么985211的，什么什么清北的，或者是世界各个名校的，或者是你们在你们企业里边做的特别牛逼的对吧？股票跟这没关系，股票只跟一个有只跟两个有关系，一个经验，一个是心态，只跟这两个有关系，所以说你要用你后面说毕生之精力，你无非就是要增长两个事情，一个是什么？一个是经验，第二是什么？是心态。所以说我说你仓里你仔细去去对比一下，就是说你今天如果你认为踏空了，说这钱是什么，相当于踏的泡泡拉15%，你踏空了。如果不是的话，翻篇了，已经到下一天了，已经要往下个交易日或者是下周交易日，或者说是下个月去看了。所以说这个第一，咱们上来用了很长时间，先调整一下心态。
	然后第二就是咱们今天的正题，就是说所谓的我觉得下半年开始，咱们一直大直播一直在讲机构调仓换股，对吧？那他要换到哪儿？而这些票目前来讲是个什么情况？我觉得有两种方向，一个方向是什么？一好久没说三年百大了，因为我这场景不对，我这后面没有那三年百大的奖杯。
	下半年对于机构来讲就两个选择，一个选择是之前咱们讲过的那五个，就是中国新故事。你们都已经清楚了，新故事一个是正在填坑填到一半了，一个是已经填完坑喜准备出坑的，这是一种。第二种是什么？第二种就是村委会，也就是中国的核心资产，核心资产里面包含什么？
	一般顺周期是什么？如果后面走流程了，顺周期首先是银行，所以我讲了说后面银行如果接着创新高，它加速的冲顶很正常。然后银行弄完顺周期，什么是券商？券商咱们今年开年就讲的什么大科技，大科技很重要，科技永远是主线。科技咱们今天还专门讲了？讲了AI，讲的固态，讲的这个医药，就是创新药对吧？
	这后面依然是主旋律，然后包括这两天涨得好的保险，我一个月前就跟你们讲了，当时弹幕还有人跟我这杠，说我说我不不不懂，别扯淡了。所以我不知道那哥们哪那么自信。那保险你去看看是不是也是最近在领涨的板块，在大金融里边，保险也是顺周期。所以说也就是说下半年机构往哪转，第一是主线的大钱科技，然后金融科技、金融消费这三个，但是消费肯定是排最后，因为顺周期消费一定是最后传导到的。然后除此之外，这些大票不再动的时候，这些大票熄火的时候，在调整的时候，小票接着奏乐，接着舞，永远就是这样说。
	如果说周一周二两天您特别开心，后台给我报喜的那些哥们儿，说明你们现在仓位里边重仓的是偏小的，对吧？那么今天给我报喜，他说这个我吃到了，我他妈我我我我赚到了，那也要祝贺你们扛了半年扛过来。那你们说明你们现在仓重仓里边的大票多，但是说像924那种大票小票同时涨的这在历史过往了这么多年，不多见。即使是在6124的时候，05到07年，还是在13到15年的时候，也没有一起涨的。都是要么先涨小的，然后大的补一波，然后小的再来一波，大的再补一波，最后大的小的一起冲。然后中石油半个涨停，所有的票跌停，然后完成出货。
	从来都是这样的，有人说满仓白酒那就活该了。哥们儿你为什么满仓白酒呢？就是风险说了无数遍了。一配置我然后上次讲课时，我还跟你们讲，我把配置打出来，把配置在弹幕上打出来，对吗？然后不断的在强调这个东西。哥们儿你为什么满仓白酒呢？而且咱们退一步来讲，你满仓白酒，哥们儿你知道你还能坚持，只要你能坚持，可能到后面要么第四季度，要么什么时候，就可能就你你你翻金中举，翻金中举，就是久旱逢甘露，你能不能就可能也没回本。但是到了第四季度，久旱逢甘露，你就知道你现在的哪衣服了。
	所以记住大就是大风里边的核心，就是风水轮流转，好吗？就是你想想周一你们拿着创新药的这不都都兴奋的他妈的都到天上去了，对吗？后台给我发各种报喜的。然后周二是创新药高位获利回吐平盘，今天是回调了1.5%到2%之间，2.5%那就不行了，受不了。
	为什么说，因为券商涨了，券商涨了，这哥们儿你是一直关注着的，你是一直有啊，还是怎么着？这曼城里边不有发展吗？这不一直有吗？怎么没毛病？哥们儿，所以咱们说今天我要聊的是什么？就是坑里起好货。所以咱们一会儿拿图说坑里起好货。
	咱们今天还是两部分，本来是两部分，但是现在分三部分。第一部分我先跟大家要一定要强调一下调整心态。什么叫踏空了？踏空就是咱们他妈说了一个月的泡泡跟中国新消费，结果泡泡今天涨了15%，你压舱里没有，这他妈叫踏空。今天是非阴金龙长的是连续已经套人套了半年了，一路屁股尿流下来套了半年了。
	然后今天人家因为人家相对估值便宜，外加消息面的刺激，人家机构买了点儿你就认为不行的，这个踏空了。那那比如像什么创新药这些再拉多，为什么指数不了？因为他们盘子小，还有满仓低空的，是吗？
	哥们儿，你可以销销销户了，我不知道你为什么就低空。我说了2到3年了，我说吹牛逼，对吧？我说他妈不要再问我低空的问题，咱们直播间不回答任何低空问题，你还满仓低空。哥们为什么呢？你是不是你得反省一下。哥们儿就是你比那满仓白酒的你还要更要反思一下。
	哥们儿，就是您，您。你这是看的是吗？还是故意气我，你这是故意气我，是吗？那有没有满仓海南的？有没有满仓海南自贸港？什么有吗？哥们儿什么别气我了。眼镜怎么看，明天你就能看到了，所以踏踏实实。
	首先咱们节目效果是吗？哥们儿咱们周三就是好好聊聊刀，咱们咱们周咱们周三聊，别打岔，踏踏实实的。所以今天三部分，第一部分，我先各位先跟各位调整一下，机构是心态是什么好不好？就是说我成熟的心态是什么？行吧，就是咱们先调整一下心态。今天你分析下这几种情况，你属不属于踏空。如果说你一直这一年一直在研究券商，你对券商的信仰就跟我对当年我对米尔的信仰一样，或者或者我对孩子的信仰一样，那你就是踏空了。
	如果你仓里没有的话，对吧，就不是他妈100里面99个都，对吧？踏踏实实。然后今天大科技一晃也涨了，也没什么问题，但是一晃不还是一个回本的路上吗？
	别着急，所以我今天三个话题，第一，咱们先把这个满仓光伏是吗？哥们儿你真牛逼，我给你小公关。咱们今天先说第一部分，调整一下心态，我帮大家来调整一下。就是你要你你们是不你们陷进去了。因为盘中或者盘后所有的自媒体，所有的消息面，好像就觉得我操今天你要没没买上国国泰君安国际，你人生不完整。所以说这个是你要首先你要准备一下思路好吗？
	你没贪污什么，你就我除非说你满仓泡泡，然后结果就比如我他妈说今天名字如果他妈涨了10%，我他妈没有我他妈我我我我我从这跳下去了，跟你讲我他妈我不玩了行吗？不是这情况对吗？不是这情况，哥们儿如果说你满仓内马尔对吧？
	什么你要亚马尔，哥们儿你他妈先搞清楚，亚马尔内马尔，你别他妈先区分了，还有个尼马尔，巴巴西亚尼尔马，还有一个明白吗？如果你要满仓亚马尔，那你也你也行，过去的七个月你确实非常煎熬是吧？就是说你满仓同花顺的什么，那你过去七个月哥们儿你是怎么熬过来的？我得向你学习心态，真的我得我得向你，你知道我这跳着也没事儿是吧？我得往上跳。对我现在我得往往上跳。
	对，没有我下面还有B2，我还有B2，我这B1，我我从这我从这下去大概4米多，也挺危险的。哥们儿跟你讲，咱们行了，咱们别开玩笑了，咱们说回来。所以第一个是首先要明确自己到底属不属于踏空，这是第一个。第二是什么？第二个话题就是我一会儿要带大家回顾一下，这两周你们后台给我发的消息里边，因为大量都是成功的。因为你们不成功的话，所谓你们后台跟我说，不好意思给你发，也没做成，不好意思会汇报。但是也但有人，我无论是小微的那边的评论区，还是我的私信，我整理了一些，咱们今天集中再答一下疑。
	然后第三部分给大家讲，接下来从七月份开始，咱们找七月份的机会跟下半年的机会。我还是那句话，就踏踏实实到目前为止，你哪个热点在我这，你没有听到，你没有提前听到，对吗？哪个热点你让让你错过了，只有你不会选的，但没有你错过的，对不对？但是为什么你选的不精准？慢慢来？如果说你一把你选根本跟我一样准，那那那那那那上上的给上的不就给你了吗？对吗？哥们儿踏踏实实慢慢来，对吧？
	就是我他妈我也不练，我上来我就能踢国足前锋。虽然我也能100万，不能不射他他妈他，但是那不合理。哥们儿王王子鸣你也想上，不合理，我怎么能提他？对吧？所以咱们第二答疑，第三就是把后面的这怎么配置，咱们聊一下，特别是我的曼城的阵容聊一下，特别是我的曼城的阵容怎么调了，然后跟大家做一个汇报好不好？
	今天咱们还是看图说话，看图说话里边，还是姥姥要求一，咱家不推荐任何票，也不推荐任何操作。同时这个也没有群，然后也不开户，也不带盘。咱们就是纯你们听一个这个叫什么职业退役的金融老头蛋逼聊天好不好？来。
	来。咱们先说第一个。
	第一个是我在微博小微的评论区看到的。有两种心态，第一种心态是这哥们plus说，今天跑输大盘一半，搁以前会觉得赚少了，但跟了Z哥这么久，今天把该清的都清了，仓位不到一半，确实感觉进退自如。希望这种感觉就是Z哥说的节奏感，时刻主力薄薄冰，减少不切实际的期待。
	咱们说在我没有交择时和没有细教这个选股的时候，这哥们用这样的半仓的心态去滚动操作没毛病。为什么？因为如果大盘好的话，你没法像我一样满仓拿去不动享受的这样一个荡漾的话。荡漾的话，那你不断的半仓去滚动没有问题，因为每天都会有新的买点出来。就是当整个大盘比较稳，不会出现系统性风险的时候，就像前两周创新药，你们觉得这个六月没风险，六月份我还赚了5%到10%，我还他妈赚了10%几。
	就是这样，如果大盘没有出现系统性风险，那里边所有各个板块，咱们讲到的那那那些中国new story的那些板块都会轮动。它在涨的时候你去看AA在涨的时候B往上再往B一调，A开始到顶了以后切换，就比如说把第一波娜娜切换过来，进他们的核聚变的第一口红核聚变起来之后扒出掉之后再切回薇薇15%的那个创新药的B1。然后他说你他妈比如说上礼拜两个第一干谁啊？干他妈中国新消费，干他妈秘密对吧？干干干他妈泡泡就是不断的就轮动起来了。
	对，包括宠物也可以没有问题，就轮动起来了。所以说你始终保持半仓，也就是有有持仓的，然后有新开的仓位就可以没有问题。你这样滚动操作，如果大盘稳的话，只不过比如大盘就在BS线之上，一直这么小小阴小阳往能够往上走的话，你比我满仓拿就不动的效率要高。尤其你钱比较少的话，你比我的效率要高。
	第二个哥们儿说的什么叫Frank，说Z哥这长得我有点害怕咋办？亏钱反而踏实。这种我你我不知道，这你可能是开玩笑玩梗，但是哥们儿你不要咱们认真来讲，不要有这种心态，什么长得有点害怕咋办？亏着反而踏实。我也发现了，我也发现了，今天跳起来说踏空的嚷嚷的要比大跌时候还要多。所以我也是跟你讲，我说散户的心态什么？散户心态就是踏空比你亏钱还难受，是不是？
	4月7号都没有这么很多人没有这么悲观，然后今天反而很悲观。我所以我不了解这，所以为什么你们老输钱呢？就在这个市场上，包括这个人世间所有道理就是只有成功才是成功他妈，就是只有成功才是成功他妈。如果你要始终抱着说全市场这百分之八九十输钱的那种思路的话，那你永远没法成功永远没法成功。
	我很庆幸的是我后台的所有的这些私信里边，没有一个老粉连刺新的都没有，基本上就是有有那种那种那种那种那种那种那种觉得踏空的，基本上都是应该是新人，应该是扩圈扩锥新人。所以别着急，还是那句话，老粉现在已经不说话了，老粉都是直接问我特别高端的问题，高端他们就直接跟我说这个曼城阵容，你看我这个我应该是哪儿在缝缝补补的，或者是咱家的老粉都是跟我今天打那个满仓的热泪盈永远热泪盈眶的。因为他们知道大体上是怎么经历好几次了，然后次新中间会有一些纠结和犹豫的过程，但整体还好，但是新人很明显，比如说你看小贝那边是白白号，就还是用户几几，或者是粉丝牌还是一，都是这种就不行了，一根1%受不了了，我操疯掉了。所以这种心态你只会亏钱更快。
	所以说咱们说两种心态，一种是你踏踏实实的，让干嘛干嘛，就跟少妇似的，让干嘛干嘛，让让撞了就撞，让躺躺平躺平踏踏实实，别老要创新知道吗？就别创新，他在这让干嘛干嘛，这注意好了，这不是最好。第二种是什么？第二种就是不要抱着他妈loser的心理，行不行？Loser心里就说，这不长得有点害怕亏了，反正他是放屁。涨的时候你能赚多少，就跟当时米儿一样，那BBI线上他妈的不跌，脱离成本区了，他不跌下来，它不跌了，你怕什么呢？说如果啪跌下来了，那就跌下来了？对吗？哥们儿，但是如果说大盘比较好的时候，你踏踏实实沿着BY线上面拿着就可以了，不要害怕，行吧？就是你所以咱说这种心态要要不得要不得。第二个是这哥们儿并不是那个。
	第二是这哥们儿给我发了一个，因为这个票我还没有做完，所以说我得等一下。但是他给我发了一个什么？这哥们儿可以，咱们周末刚刚讲完，他这个操怎么这怎么那么白呢？
	这个跟我有一些那什么，我操这他妈这儿第一开进来，然后来个15%，就是我要表扬这哥们儿，这属于知行合一。同时至少稍微deep是一个一点点，只要D不是个一点点，你这都就能就能知道情况。然后给你们看一下我的标准操作，就是我操我让我截下图就有名字。
	就是我我抱着这票完蛋了，熄火了的的那什么，我抱着很大的牺牲精神，我给你们讲这个案例好不好？看看哥们儿看哥们儿这双臂了吗？看哥们儿这双臂了吗？看哥们儿这双臂了吗？就踏踏实实就完了，很简单很很很简单，科创买不了，那那那没办法了，哥们儿那就没办法了，对吗？
	就是说我带你去全成都最牛逼的商K结果去了以后，你说对不起，我这个没有，那就完了，对吗？哥们儿，这这就这就这就就就就就说别算了是吧？你说你看我说也不是，不说也不是，不说也不是。就早在大清的时候我就没有了，这不就很麻烦了，这去也没办法，对不对？那就等等于说咱自带一少爷，你就帮忙维持秩序，是不是？咱们接着来。
	有一个姑娘应该是姑娘，就看是吗？反正我也也没看着，反正你们说是姑娘或者说不是姑娘，我也搞不机敏，反正就当姑娘看吧。说卫哥打扰您，女人的钱这块儿我有个思路，因为毛毛毛哥的上市的18年左右辅导什么就怎么着了。我我我不泄露他的隐私，但他后面说的这这个东西我觉得很好啊，你就接着往往这方向去研究。但是我要提醒你一点，所有只要基本面有大瑕疵的，在港股市场就不要碰了。如果发现什么法律的这方面的所有的问题，就不要碰了。
	就相当于什么？就相当于博格巴这个球员现在的状态。你说打个中超MVP没问题，你说博格巴打个法甲也都可以，但是没有一个队签的，为什么？就因为他他兴奋剂对人来讲，只要有一个污点了，对于海外的资本市场或者整个的这个社会里边来讲，就完了，就熄火了。所以就是就这种钱就别挣了，说后面扒起来了，那就起来了，就属于小小概率。然后。
	然后这哥们儿这这哥们儿这哥们儿叫。这是小小微，有很多人6月23号他发早了，他说感谢Z哥的创新，要大爱他人。怎么就知道我周三我人就记住了，我创新药大爱是哪个呢？对不对？上周五第一轮的，没想到今天就送了六个点，踏踏实实，结果13.21说十几个点了，这人属于暴起暴躁了。然后有人回复说Z哥最喜欢的那个。对，不就好好听着不就都有吗？对不对？
	这个我要念一下，他叫空杯心态，说这个好，这是一封忏悔书，也是给我自己的总结。因为截止今天我开户以来的利润全部亏光了。我总结主要犯了以下几点错误。一心态急着赚快钱，年龄大发展受限啊，小镇青年家里没矿，在广州想买房结婚难啊。2、自负又自卑。然后后面涉及到隐私我就不念了。
	第二大点是不遵守纪律，不及时一小一不及时止损，青花横横破位不走。想着自己拿得住，结果不是小二不及时放飞，创新药没跟上，特别重视核聚变，吃了二十多个点不走，反而加仓。咱们有聊过他妈挣了20个点还要加仓的策略吗？哥们儿是不是熵增自己创新对吧？不走反而加仓，找到一个三叉戟图形，同样操作就等于说也是吃到利润了，还加仓呗，是吧？哥们儿你这是在上世纪20年代的时候，美股的玩法就是利弗摩尔的玩法。
	在大A的话基本上你这就是就是真的就是我我我我都不知道怎么怎么评价，你知道吗？因为确实是这个，然后三下阶段做法已经止损，不看自己成本。比如说横，你你你搁到了地板上，对吧？那你心态是不是又又崩了？
	这两天今天B一入了村委会，这是周几？这好像前天，前天还是昨天，第一入了村委会。发仔伍子、一皇一后、企鹅各十个，另有20个分别做单帧和B一完美图形。
	重新出发记者介绍，然后四最后作为小班成员，我的成绩应该是倒数的，请大哥相信我，我一定能触底反弹。已改名请就当我今天才正式拜师，哥们儿没别出去，别提为师的名字。但是咱们说这是个这哥们是个人才，他靠一己之力直接省直。就这哥们儿，这哥们儿绝对说智力方面没问题。
	咱这儿还有一个浙大的哥们儿，也是，我也跟他们说的一样的话，就是说你们的智力能力没有任何问题。同时你们还善于总结，总结了自己的到底是因为什么导致亏损的，为什么没有按照纪律走到这一步？就已经超越了90%的人了。咱们别看屏幕前大家都哈哈哈，我跟你讲那9% 90的人连总结都不会，这还觉得我操这个我就是踏空了，我踏空了，你踏空毛线。你这他妈很了解国泰君安，那你还是很很了解他妈的稳定币。哥们你是了解哪个？你就他妈踏空了，对吗？
	所以我觉得非常好，哥们儿我对你很有信心，你就踏踏实实的每天总结。就是说如果你要没遵守纪律，你他妈再赚了钱了，不走20%都不减仓，都不放飞，还他加仓的话，那抽自己俩嘴巴，对着镜子抽仨嘴巴，短视频给我发过来行吗？我帮你一起监督你来这是这哥们儿，再往下。
	来，这哥们儿叫小猪，我看我发了一大段，我说打字说不清楚，我说我给你这个直播聊，他说磊哥恩施晚上又叨扰了，有两个问题想请教一下您。一我发现最近做盘有些不顺，第一经常遇止损，我分析首先肯定是自己问题，选股要不就是集中板块了，没分散风险，要不就是只关注完美图形了，淡化了主线投资和主题投资意识，没有在画好的池子里面玩，您觉得这个反思合理吗？
	我觉得非常合理，因为你每天都发我你的后台作业，我有时候碰见了，我就打开看看，什么这个洋什么化工是吧？还有什么玩意儿，我他妈的都什么哪什么玩意儿，这都哪儿的？踏踏实实在我这池子里边，你但凡这五个池子里边你随便轮椅，你的能力没问题，对吧？你他妈你都就干的这些我看不懂，我看看我这有没有没有截图，你干的那那一些我还没有结，反正就是你这出去你妈的外五线。对，哥们儿，你直接就咱都已经我给你的西楼的池子都给你画出来了，那你就不要到外无线找瑜伽裤了，踏踏实实的行吗？所以说就是你这第一点非常对，就是现阶段没有在我给大家讲清楚择时跟怎么选股的选龙头的这个过程当中，就是我为什么能买到那个那个15的15个点的，对不对？包括有些朋友你们能能买到那个绒，对不对？你们能买到他妈的当时这个可控核聚变龙头，对不对？
	别着急。第二第二个想问您的是，现在我目前自己操作的资金，除红利低波外，有接近60个完全是练手钱，心里碗足够大。如果有一天全仓跌停了，完全可以接受。请教您如果单从扩大资金体量的角度考虑，能否重仓等机会单做一只比如主线或者主题投资里画好的票的完美图形。您反复强调的配置仓位的确降低了风险，但总感觉也压平了收益，可能对于我的风险偏好来讲，感觉可以接受更激进一些。我想请教您一下，是我的思想有很严重问题，太激进了，还是可以这样偏向重仓位的配置？
	说到底哥们儿你就是想赌，对吧？你就是想重仓60万，重仓赌一个，是吧？哥们儿跟你讲，你赌一个赌对了，后面你就两次次都要赌到最后只有两种可能。一种是反反复复反反复反复抽脸，反复站，怎么也做做不上去，刚赚了把大的又亏了，亏了把大的，这么反反复复，最后你就没有心气儿了。
	第二种可能是什么？就是你碰一波行情好的时候，那你你你轮到了一个，是可以弄，但是你长此以往盈亏同源。你有一个票当天赶上大盘调整，而且还不是说大盘轮动调整，而是集中某一个什么风险调整，盘中很多随机的空间往下一杀。你可能之前一个月累积了35%到50%的盈利，那一根以上20%，你说你止损不止损？你不止损，第二天八低开5%，再往下杀700% 10%，你止不止损对吧？你说你止损出来，把前面一个月白干，俩月白干，你说你要不止损完了接着再杀。当时530半夜鸡叫530，很有可能，就跟4月7号不也是这种玩法吗？你怎么办？
	所以我再强调一遍，就是说我觉得这玩意儿不存在说您的思想有问题，还是说还还还还是说您的风格激进。我是觉得。不要把大富翁特别大A当成赌场。就是说你看到的世界上或者说大家这边，或者有些自媒体对吧？现在是自媒体非常的非常的开放。或者你看任何的炒股大赛，所有的炒股大赛总会有第一名，总会有连续四五次都做对，十次都做对的，有没有？咱们现在屏幕前两万人小2万人，19000 9000多人同时抛硬币，咱们抛一晚上，到最后依然能够有他妈几百人都是抛20次都抛对了，你信不信？
	所以说就不要千万不要有这种带有赌的思想，否则的话确实是你要么就是一把上岸，赌博大的一把上岸，但是更多的人是什么？是炮灰，是那99%完全9 90.9完全熄火的这一波。所以我个人认为大家可以不认同我的操作和我的理念，完全都很正常。
	因为比我牛逼人多的是啊，只是说我是靠我这二十多年来，在我觉得我我几乎我所有的身家都是这个市场给我的。所以说我坚定我以往的过往的成功的经验，所以我认为只有成功才是成功。他妈所以我只分享我自己的经验，至于说有人可以说靠单单仓重仓沦沦，一直他妈轮扒上岸了。
	首先一我尊重，二我不会，就是我没那个能力。我试过吗？试过，我都试过。曾经他妈我做同一期货也是满仓，八一晚上一个跳空2600万，我我我我我也我做过就特别一睁眼就2600万，我操，不也是盈亏同源，所以说我没这个水平，我所以我只说我就配置还是他妈的配置。所以您这60个说满仓跌停了，您都不眨眼，是再来一跌停，就再来一个跌停，三个跌停，你你你慌不慌？关键是你三个跌停下来之后，你只剩他妈三四十了，你再打回60，我操，这就相当于翻翻。
	但是你说这个我不可能碰到一个票连续三个跌停，是我相信你不会碰到，大概率不会碰到，但是你会连续错3到5次，就跟我们以前做量化系统回撤的时候，就是你你不怕你单次回撤多少，但是怕你连续回撤或者连续极值回撤。你怎么就没了，起火了明白吗？哥们儿就是说你每次只砍5%出来，你连续半个月砍了5%，他妈砍了十次5%你就没了，对吗？你再坐上去就翻番了。
	所以我再强调一遍风险，因为今天你们认为踏空了，你们踏空的话只是没挣到今天非银金融的钱。但是说你们像以前动不动8就追，然后第二天八大幅低开或者往下一刹你们就割了。像这么着在在丢钱吗？没有，绝大部分人没有。所以永远是留得青山在，不怕没柴烧。先把钱踏踏实实给我放在口袋里，其实就是一根儿就完了，就差一根。
	我说我的心态为什么比你们今天很多人要好？因为我他妈周一有根15%，而且我他妈发仔，我上周加完仓之后，这礼拜三根阳线，我不认为我踏空了。我觉得我在漫城中刚才给你们看，就是我还创新高，对不对？就是心态为什么有时候就差那一根儿，那这一根也就是最后一口气，千万别赌，只要你一赌，我这口气八嘎就没了。
	所以哥们儿我今天费了这么多时间给您单独解答这个问题，就是想跟您说一定要这个配置。如果说您说您认我，我我就分享配置就是单单仓轮，我觉得我要教你的等于害你。就像现在所有人小2万人，我要教你单仓轮，我肯定是害你的，绝大部分肯定没戏。就跟你们很多人试完之后发现是不是B一更稳，对吧？就是校服战法更稳，绝对是亏的少赚的多，除非你股选错了。你就哥们儿，你选什么洋洋浓什么，还选一什么来着，就是你反正俩我都不不知道在吵什么。
	可能你们知道，但是我我不知道，但我觉得我要不知道的话，那主线跟主题可能大的机构也不玩。所以这是给您的问题回答完了，下面那个叫真实up主，这个说ZGNB次新粉给您问好了。平时看您的直播欺骗学这周行情不错，轮到几票涨停，特来感谢，祝您一切顺利。我想说这种朋友每天有好多种朋友，你们可能刚新入场，手比较性，新手菜鸟手都性，对吧？就是不要被眼前的假象所迷惑。如果说这礼拜你重仓的是别的，你没有拿到这么多涨停。今天遇到非银金融这么涨，你会不会心态崩？反思，就把每天遇到的各种情况，粉丝放到自己身上去预想一下，做备案好不好？慢慢来，不要不要骄傲。
	这哥们儿有一个叫知行合一的这哥们儿，他给我玩了一个梗，我他妈一看没看明白，我说这看完之后，我说他们太冷了，他说什么？说赵匡胤杯酒释兵权喝的酱香还是浓香？你们知道赵匡胤当年杯酒释兵权喝的是酱香还是浓香？你们知道吗？赵匡胤杯酒释兵权喝的是浓香还是酱香？还是说喝黄酒是吗？喝说喝散白是吗？哥们儿告诉你，喝的是清香型，为什么呢？
	当时一边喝着清香型的酒，一边说什么天下之事逢酒必喝喝酒必分。所以这哥们儿给我来了一个梗，我说他妈太冷了。行，然后咱们下一个这个lost key，我看说什么。呃。
	这哥们儿说这个Z哥好，真是一念天堂一念地狱。今晚有时间的话，给您交一份可能是最遗憾的作业，是什么呢？是不按纪律在尾盘五分钟止损，错过今天的20厘米涨停零虽然没亏，但难受。我要说的什么？我要说的这哥们儿就是对于新手来讲，踏空要比满仓被套难受很多。所以这就是市场上散户的心理，也是大众的心理。
	就是出门没捡钱就算丢，你知道吗？一定要首先改变这个，我给你们，你们听我什么？你们听我聊的是机构心态，对吧？那我告诉你机构是怎么想的。就是我之前说一礼拜最多开两枪，最多开两枪，就是你们去简单享受，你怎么能翻番，怎么能翻番？
	做10比7%就行了。10比7%放在一年里边，10比7%难吗？但是也肯定不简单，但是真不难。难就难在说你每天都看到别人做对了，你没做对，你就乱往里冲，然后一下心态就失衡了。
	难的是在这儿，所以我过去一个月为什么没给你们分享我净值曲线？一个是我不想在你们面前咂巴嘴，别不要闭嘴。一个是很多人老看这个心态就失衡了，就会觉得难道真是是啊这个是我不行吗？不是哥们儿，不是是踏踏实实的行吗？
	就是您现在上场，您跟他们勒布朗詹姆斯单挑。丹我不是勒布朗斯特，就我他妈算一个北京首钢的那个那个beauty boy是谁来的？方硕，比如我算一方硕，对吧？
	你说你你你你跟你跟方硕打篮球，你单挑打不过，这不很正常吗？哥们儿对吗？但是你年轻，你能练，对吗？别着急，这哥们儿遗憾在于他不按纪律止损，错过了一根20厘米的涨停很正常。
	未来在上涨过程当中，比如说我再说一遍，比如说萱萱，你们轩轩，我之前专门讲讲固态电池。有人他妈的我说就那四个票对吧？那么萱萱把他弄进去之后，那哥们好像今天在在微博里边还给人解答，吧？他是BBI线破一根没破两根，人忍了忍人引了一下，然后后面嘣嘣这礼拜两根儿对吧？两根还是三根？就拿过来就挺过去了。这样的就是在有浮盈的时候，你的心态会比较好，你就是就扛一下就扛过去了。当然说如果说不涨跌下来了，那那哥们儿也要去认说必败线下面两根阴线止损，对吧？所以就盈亏同源。
	还有一哥们叫任平安，这哥们有点有点炫耀，他说股票太屌了。ZJB这周渐渐熟练，选了三个起飞，三个什么GHK，什么什么涨停，什么SSG小吃五个点。NMY今天又轮进去了，又起飞了。保持纪律，熟练战法，持续学习。哥们儿你跟那哥们儿是一样的。短期就比如说谁都有手风顺的时候，但是你要琢磨的是手风不顺的时候练止损，把止损练明白了好不好，否则你怎么挣的钱，后面就怎么亏回去。但是您能每次都都轮轮对有点天赋，咱们不得不有点天赋。运气也是实力的一部分。这哥们儿叫二次元办事，你放心，这哥们儿说什么？这哥们儿说。
	Z哥您好，从去年5月份跟到现在一年多了，一次都没找过您。但他明明在2024年11月22号楼给我发过消息，但当时消息太多，错过了你看不不不诚实，哥们儿你不坦诚，这互联网都是有有记忆的互联网都有记忆，你看这不是什么联系过我吗？对不对？从去年5月份跟到现在，一次都没找过您，感觉您很忙，不好意思问您，实在受不了了。学生愚钝到现在-30%还一直在回本，这倒没事儿。最让我破防的是最近这俩月阴差阳错一直在挨打。请问这个大师什么时候来？快熬不住了，这个快熬不住了，然后我给他回了，我你在搞搞什么能亏30%，就是拿着什么票是能亏30%。
	我不理解，你你你满满满仓青花也不至于30%，对吧？所以我就想跟哥们儿说，我说你也一年了，还是这种情况，我觉得销户，还是就算了行吗？这个确实可能真的不太适应，我没有别的意思，就真是发自肺腑，绝大部分人都不适合干干这行，就算了吧，我觉得你也很痛苦对吧？所以我我觉得我我觉得就是没关系，就是条条大路通罗马，每个人都有自己在这个世界上擅长的一个专业，我觉得很正常，包括屏幕前肯定好多人也是这样的，这你就放弃了就算了，真的这并不代表什么。
	还有一个哥们儿叫男人三宝，他说感谢Z哥这周在创新药赚了一点点，就等第三第四季度白酒创新高了。发现在主题里我还是更适合少妇阵法。蓉蓉已经赚了23个点了，今晚踏踏实实继续听老师指导，感谢。然后他给我发了一个他的这个持仓，全红。那绿的就是青花，绿的青花全全红。
	我要说什么？这哥们儿就是刚跟我说的道理是一样的。如果你节奏踩对了，其实就一根儿，其实就一根儿，你有一根儿你心态立马就稳了。明白我说的意思吗？所以不要慌，而说未来说真的行情来了往上走就一根他妈难吗？踏踏实实的一根难吗？你龙蟒都能回本儿是吗？可以，你说你很坚持，你跟枫哥一样坚持。
	但是我说了，我还是希望大家能够跟我一样说咱这是是是能够说一一直一直，就就能够一直不断不断不断能够不断一直创新高的，行吗？咱别永远在回本跟亏损跟回本的路上徘徊，就是跟上进度行不行？跟上进度。
