	来干不干？
	早我操发财了，发发财了。走，我操发财了，就是偏离了这么多地外线，基本上就就看就看看你觉悟了，无所谓，我操。还有，我都忘了，他当时有过这么爽吗？我操我都忘了我都忘了。来这个放天亮，记住这叫什么图形，我个人把它放在最后一道题，这他妈是叫综合题，这是个什么图形？大声的告诉我，打出来这叫什么图形？这叫什么名字，大声的告诉我。
	这是一个标准的顶部大风车，记住。有人说这种走势是不是不常见？对，十年一次，不常见。我为什么拿它来当案例讲？就在于你们要记住什么是完美的。就是这道题他把机构拉升前的洗盘的微动作，就刚才记住刚才那个案例，是不是也有一个股价没怎么下跌，但是勾到大幅值了，记不记得？
	然后这也是出现这种情况，同时他妈还出现了个顶部大风车，这是他还出现了一个BBI线上两根绝对非常明确的两根中大阳线的一个减仓。然后说比如说你说这种图形不常出现，但是我告诉你这种图形是不常出现。但是原则上这种到这儿的走势是经常出现的，到这儿的走势也是经常出现的。所以说这个票云上来讲，你这两根减仓一半，或者这两根减仓一半，或者是这两根涨停减仓一半都可以。你已经赚到钱了，后面再给你多少，那他妈都是十年难遇的，无所谓了。但是因为这个点的一个一个就这个是很常见的图形。但是因为你这个点的压铸，你堵上了两根儿已经足够了，足够就是说后面他们就是完全是历史级别的，无所谓。然后顶部大风车走走错也要走，你不走的话就等白线等白线白线等等白线等白线等白线等白线等白线一根两根走你发现最后他白天下来之后，你他妈这根走跟这根走价格一样，你发现了吗？
	你这两根价格走是一样的，你最后赚的钱是一样的，所以还还是命，还是命。但这里面就有一个什么，当时我跟你们说做第二波，记得吗？我说做第二波，这一波你们踏空了，包括当时咱家很多次新粉就是这会儿来的。我说别着急，这一波的钱是给这一波长期跟这儿，我们家老粉跟这儿踏踏实实的对吧？人家忍受了各种人家忍下来的这波钱，他该赚该得的跌。
	然后新来924来了之后，我说等第二波，第二给了一个标准的-4.03，从而白线之上也是至强图形。现在是不是你们都都对上了，第二波都对上了，是不是你们这个第二，当时咱们924周，我说你们等第二波，别着急，别追，别追很多人。你们有些人就是在10月8号这天10月9号追的，对吧？
	我说等第二，你就是第二波人是吧，你就要等到5张，说沟大幅值干啥呢？勾大幅值，所以就是这天你干啥呢？电压之后，你的止损设在这个位置，对吧？设到这个低点的往下的位置，你是设到25.7块，22 2不25.7块。对，都可以。25块72，25.6块都可以，无所谓。怎么这这个这个这个这块都可以，无所谓。然后进去又当天就脱离成本区，往上走走走，这是这是一根，这是一根儿，等第二根，这个400分之4算第二根了，没有问题。
	所以你这根走走一半，然后剩下这儿这么走都可以，然后你就一直等等等了，那就这天出，最后你发现其实还是在这个位置出，你后面不一定能赚到。至于说后面这一波你怎么赚，这一波就是半仓之后的这波你怎么赚到呢？那他妈就是更加赌博了。
	小概率，那就是那你做的任何任任何的相当于就是等于说无本之末五本无本之木。因为绝大部分可能不会后面再这么强了，你在这儿走就是对的。所以这就是非常不确定了，并没有显著性，策略优势不明显。
	当时不没听懂是吗？现在懂了吧？现在懂了吧，这就是咱们当时说做第二波，第二波就下来找大幅值，跟你们说找大负值，找大副值。当然了，你们的未来细了以后可以，你看就这是第一根阳线，对吧？这天买完之后，第一根阳线，这是第二根阳线。
	你说是走一半就走了，你说到这儿又出来一根，怕前期这块套牢盘多，没关系，你再走一半，剩4分之1仓位对吧？起家状态再走四分之剩8分之1仓位，你们再来一根。说然后你再等这根就出来之后，你们再走16分之1仓位，或者全走了也可以，无所谓。因为原则上是你的价格偏离必备线过多，肯定是要这种要要均值回归的，肯定是要均值回归的，所以你越偏离你越卖。
	没问题，哥们儿没毛病，鼠标给你可以来讲了是吧？没毛病。好，这是一个最后毕业题，因为这张图太他妈完美了。它的完美在于首先买点完美对吧？前面这波主力建仓很明显，然后买点完美。第二买点就是不要第二买就是那个那个等等，第二波的钩的买点也完美，他上面那个出货这个大风车完美，上面这个出货这个也完美。所以这张图形完美。
	所以为什么说太子是他们券商自营做的？只有这帮老逼登，只有这帮麒麟会才能做出如此完美的图形，这就是他们，这就是教科书，你们就把这张图天天琢磨，天天研究，把这张图研究明白，这就是麒麟会老逼登最经典的操盘手法，把它研究明白。有人说这些图都太完美，没关系，比它不完美的更接近大多数的图形，只是没有涨这么多而已，没有涨那么多。然后十道题做对了七道是吗？九道对了六道，那说明你们有点天赋，哥们儿有点天赋，剩下的限制你们进一步说能否真的赚到钱，就是盘中当它变成每天每天你要经历的交易的时候，你的心态每天会比较纠结和挣扎。那错了俩这么值，那可以，哥们儿你就属于班里前2% 20的优秀学生，有悟性。我今天案例提到的这些图形是未来可以用少妇战法玩的图形。对于很多新手来讲，你们不要去瞎扒拉去在大富翁里边，不是在在曼城阵容里边去找。

（内容由AI生成）
