	Hello哥几个。声音行吗？声音。
	咱们年初时候说了，说这个老美要弄你这个tiktok去年说的就是不是什么，你tiktok本身抢的什么业务或者占什么，是不是？而是意识形态的大平台。所以你这么来看的话，无论是哪吒还是黑神话悟空，其实没有特别巧妙的运用或者跟上tiktok的这个思路。所以说他们的未来的产品肯定很多人现在圈里很多人都在学泡泡玛特的这套玩法，就是你不要想着你弄一东西，先他妈打到美国，别你要先去东南亚洗一圈，在那儿洗车。因为那块儿的文化交融更深入，有一个过渡有过度，而且在那边也能试水，你知道吗？就是你这是比如cry baby，为什么圈里人认为他是下一个老布布呢？就是因为crybaby现在在东南亚火的程度，达到了拉布布早期在东南亚火的程度。
	然后同时你还要再注意一点，就是说无论是无论是拉布布还是这个crybaby，是不是咱们中国人来讲，其实不是很能看懂。就是老波波在中国就没就我说6161我带我女儿去pop plan随便买，现在没了，什么都没了。为什么是出口转内销？
	如果以中国人审美，比如我，我觉得这个叫什么哈哈哈奇普普，我觉得这他妈挺可爱的。这是所以中国人的审美跟老外是不一样的，所以你就得多试。那你不能直接扒头一个东西。对，蒂姆也可以，中国人看得懂吗？蒂姆也可以，所以这个抹茉莉也可以。对我没有说拉不不不好看。哥们儿就是咱们聊事儿，行吗？
	咱们聊事儿呢，咱们聊事儿。我说什么意思？就是说在海外火的东西不一定在国内火，在国内活动也不一定在海外火。中间一定要有一个测试的一个区域跟平台。那什么来测试呢？就是以tiktok为平台在东南亚先测试一圈，基本上你就能看到这个海外市场的一个大的情况了。就跟中国的游戏掖好往海外去输出的时候，也是在东南亚先输出一圈。对，那就咱实验田。
	所以我要我要就要说的什么？就是说第四个，中国新故事很重要的就是文化的输出了。但这个是需要时间，这个没法像科技一样，科技硬核。八一出来以后谁都看得懂，大江谁都看得懂，对吧？DBCG所有人都看得懂，但是文化输出的话，你这个就得慢慢来了。包括游戏也是在文化输出的这个部分里边，所以咱们今天开头我先讲讲这四个，就是要中国新故事，大家下半年一定要注意。所以说从我个人的角度来看，我不认为中国新故事所有的玩意儿已经完了。
	我觉得不是我觉得恰恰刚开始就是现在特别像14年上半年。我之前说过，像14年上半年的那种感觉特别像就是你会发现突然间市场上各种各样的主题都来了，而且各个主题都是特别贴合中国当前时代发展的主题。但是拉的这些破玩意儿，我所用的破玩意儿就是没有基本面。他们拉的这些破玩意儿，比如说布鲁可业绩，他他就根本就跟泡泡玛特不是一东西，或者说这个毛戈平也不是一东西。但是你看不懂不重要，这样你会发现有人在做它，而且是形成契合跟袖跟现代。
	现在你说这么的可控核聚变八字没一撇，对吧？后台有人跟我说说说这个可控核聚变跟你说的那个那个核电站不是一东西。哥们儿，我当然是咱们他妈，我还给你们细讲可供核聚变来的，对不对？上次我现在问题是在于什么？在于为什么我把这一组放在一起来说，就是只要这两个礼拜带，这一个月带核的那就和nuclear就只要带核的。
	在市场上在渐渐的形成一个共识。无论可控核聚变还是核聚变，还是他们核电站，只要放在一起，他们就会把很多主题慢慢的形成一个主线。不重要，就只有专业的人你才能够分得清说哪些是纯核，就是20座核电站的概念，上游、中游、下游，哪些是可控核聚变的概念，上游、中游、下游对吧？哪些是什么核核聚变的概念不重要，明白这意思吗？
	哥们儿不重要，重要的是这个和本身它在大A里边，无论是上中下游，有点儿像当年的高铁。高铁就当年在09年炒近亿实业的时候，什么什么叫他妈记忆实验？你到现在你知道什么是记忆实验吗？干嘛的，你知道吗？然后当年在炒什么广晟有色的时候，你他妈干嘛的？炒那个什么西北轴承，这干嘛干嘛的，干嘛的，不重要。就是在第一波炒概念，就是09年炒的那个概念在10年开花，14年炒的概念在15年开花。
	所以我觉得就现在很有当时的那种感觉，就是只要形成了一个就渐渐市场逐渐的合力合力，只要它这个概念，比如现在说和这个概念，它在整个大A里边涉及到的标的足够多，他参与的人也就会越来越多。然后慢慢的就会形成合力，就产生新的故事，不断有新的故事，故事再产生吸引力，然后再形成越来越多这个板块越来越大，最后可以容纳更多的机构资金，也就是大资金，最后公一起做这玩意儿，所以说我认为就是核，咱就说核，是不是说你不用管可控核聚变，还是他妈的20座核电站，还是什么什么核聚变，不用管这些东西，包括是什么什么中东那边打起来了，马上要核核战争了。吹牛逼，我在这吹牛逼，乌克兰跟俄罗斯他妈的不能一直这么说，要不进行核武，他妈的吹牛逼不可能。
	记住一个有核国家跟一个无核国家，他绝逼打不出核战争，你知道吗？但是有核国家跟有核国家没准儿能打出核战争来。但是有核国家如果跟无核国家打出了核战争，有核国家就相当于大人欺负小孩，在社会上就说不清楚了。如果有核国家打了无核国家，那中国就要表态了，中国就要出来了。包括这个五常里边就都舆论是不一样的。但是有何国家跟有何国家打，那他妈就是你们这就说白了就他妈就最后就玩玩命了。所以大家不要对这个玩意儿，这不都关于什么大A能用的，就是借力，就是借力打力。
	所以咱们开场讲这个四个，就中国新故事这个概念，大家一定要在脑里边有一个概念了。无论下半年还是在明年或者未来加速的时候，我觉得它慢慢的会形成一个主线。为什么？因为你扫你一扫，整个涉及到和的全大A至少200家公司，200家，就跟当时说高铁那波概念的时候，大A也有几百家。当时在炒这个互联网加，或者说互联网金融，或者说是这个传媒的时候，互联网整个大A加起来也有几百家。所以说我觉得大家一定要对这个有一个概念，就是有一个概念不是说说完你明儿就轮了，不是，而是你要找到在这里边说哪些是纯炒概念的，哪些是未来真能炒出来的，业绩真能释放出来的，一定要有一个这个概念。
	你下来之后找一个B一轮安的，然后不断的去试仓，看看能不能替换掉曼城里边的那些表现不好的，或者慢慢被整个市场淘汰的一些标的。只有个这概念，这是补充的一个。然后再补充一个观点，就是咱们前两周在聊说现在整个的行情，整个包括六月份你们也看到了，六月份是不是很难做，指数就横在这儿，或者说盘中往往下，然后收盘再慢慢的买回来。然后你看似要突破了蹦极，突然间盘中一个跳水。咱们之前两个礼拜一一直我跟你们一直说，我谁能在盘中此时此刻敢这么玩，对吗？这他妈不不得不得，他妈的这他妈盘口马上交易所他妈的恨不得得抓人，是不是只有他，对不对？是不是只有他。
	所以说我跟你们大家讲的就是说在中国做大A做大A基本面不重要，情绪面也不重要，什么美国隔夜，什么海外打仗也不重要，重要的是意志，国家意志，这是最重要的。就是需不需要你动一下，比如说924为什么得动了？你发现不光922924栋924后面之后还放一大烟花，对不对？这都是整合营销传播，所以说一定是需要一个契机。所以说在大部分的时间里边，我觉得大家就是不要对大A抱有不切实际的幻想。最终方方面面的矛盾或者方面的问题都解决的差不多了。最终中国资产重新定价，一定会给大家一个满意的交代。
	我相信是这样的，就是一定会给老百姓一个满意的交代。因为凡是国家承诺的东西，目前来讲还没有做不到的那这个国家承诺什么了？当时咱们咱咱们说那个那个多少条是不是？第二条就是拓宽群众的财产性收入的渠道，对不对？那房子显然是没戏了，那除此之外还有什么呢？那不只有那个，对不对？所以我的意思就是说什么？就是说你们在现阶段啊不要抱有不切实际的幻想。
	目前方方面面，至少从我个人的感知来讲，节奏是在加快。各地的这个划债的力度肯定也是非常快的。但是我觉得还没有到那种说需要快速的通过释放流动性，然后来一波，我觉得还没有到。但是一旦开始的话，一定不是说马上就完了，所以大家我觉得现在不用着急，千万不用着急。
	另外我之前我两个礼拜我一直强调，我说这个位置谁敢卖，然后再结合央行的最新数据，就是你们都能查到的。我那天查了一下这个五月份，在央行的那个数据里边，是对其他金融性公司债权科目余额是9809亿，较四月份减少了500亿。什么意思？也就是说四月份因为他的其他金融性公司的债权，那不就是借给汇金的钱，对吧？那比4月份少了500亿说明什么？说明人家用500亿控了一下节奏。就是当时盘中日记得吗？就是日那种，然后你们那天也吓得够呛，我说这除了他还能是谁？
	现在数据对上了，就是可能这个500亿，人家压了一下，那人为什么压呢？人也没有出货，人家只出了500，什么意思？就是人要稳一手，就是现在说明就不需要你动这个夜壶，不需要你拿出来。那在这个情况下，最好的玩法就是少妇阵法，就是你要敏感很敏感，蹬起来爆发减仓下去之后不要怕它漏，设设好止损，该干嘛干嘛，也就是这样。
	所以说在现阶段曼城的主仓是很困难的，很困难，因为它都是指数级的，就跟高盛出了一个咱十朵金花，对吧？什么十朵金花里边有好几个都是咱们办成的，但是这玩意儿要一动，那他们就是指数级了，那就往上窜起来了。所以我觉得现在没有到那个时候，所以说咱们为什么这一个月都是讲绍福战法或者是这个补票战法。所以我觉得大家还是可以再敏感一点，稍微敏感一点，我觉得没有关系，不要怕踏空。因为后面一旦起来之后，就相当于比如过去泡泡或者过去的这个米一样。它的这个虽然很流畅，但是你总能找到一个点进去。而你找到这个股票的点进去，或者说有这个勾大幅值进去的时候，你其实不用等几天，你就能很快的给你一个正反馈，而不是像现在这样吭哧吭哧的吭哧的，我操这非常累，非常累。所以我还是那话，就是不要怕踏空，不要怕踏空，说真踏空了怎么办？
	真踏空那前一两天也无所谓，你让人爬山坡，对吧？他想出来让人爬个山坡，所以这是我补充的一点。就是说目前来讲，通过央行的数据可以看到，五月份相比4月份来讲，某队应该是减了500亿。而从盘面上来看，我记得是有两天是日日就下来，对不对？就是集体你说现在这种管控的水平跟条件，谁敢盘中这么砸，对吗？但是你发现它砸完之后，没有带来什么恐慌盘，而他自己在下面又拖住了，说明什么？只是我认为是在控制速度，而不是控制方向。
	因为对他来讲，他4月7号在3 3100拿的，说到3400，总共300点，而且它还是拖着，然后往上再往上，当时就的时候肯定得往上蹬一蹬。没有利润，就他不是他们，他对他讲这块一定不是出于这个利益的考量，他要做什么T不是。而且他妈进来那么多钱对吧，进来他妈小1万亿，然后只出了500。对他来讲就跟你们放非洲10万的仓位，放飞5000块钱。其实对你整个的利益方面其实影响不大。但是它这个规模在这儿，它要传递的是一个速度，控制速度，就是我觉得更多是一个态度。所以大家也就可以有一个感觉，就是说他确实是拖而不决，而且数据对得上。我觉得这个是比以前要公平了很多，就是通过央行的这个数据，然后跟汇金那边能能对上。
	那这这是我一家之言，这是我一家之言，说如果有说错的地方，那就是我错了。所以我补充一点，就是现在很明显想让它快速突破，至少目前来看，我觉得还没有，就是看不到这个迹象，包括增量资金也没有，也没什么增量资金。如果但凡有点增量资金，被他这500亿又慢慢的又给砸下了，就给他给给砸下了。所以现在市场里面至少机构端的共识是什么？是跌你也跌不到哪儿去，但是涨我擦努努出血也涨不起来，为什么？因为大哥没说话，大哥不揉。这有一件事儿，然后再给你们补充一个，就是说昨天晚上人民网，发的那个新闻，发的那个评论。
	哪儿去了？
	人民网评，这个你们很多都看了是吧？禁止违规吃喝，不是吃喝都违规。所以我说这个是不是对上咱们上周详细的讲了15分钟白酒的逻辑，对不对？就是这玩意儿背后一是咱们很容易现在就矫枉过正，对吧？这是一直问题。但是同时另外一方面，就是说总的意志肯定是要刺激消费。不可能说在刺激消费过程当中，把各地方政府的纳税的主要的进项给你砍了，这不可能的，不可能。然后所有的机构他们都知道这个逻辑，那那在短期我一直讲这是一个少，目前来讲也就都可以当噪音来看。
	虽然说白酒没有反弹，但是我认为整体无论从业绩还是基本面来讲，对于我来讲，我还是会继续的增持。所以我再说一遍，我不会跟人民币过意不去，就是说这玩意儿是就是我经历太多次了太太多次了，而唯一说改变的什么？就是说真的是白酒没了，就到我这儿行吗？就到我42岁，中国几千年的酒文化没了，我操没了就跟一个小行星，当时恐龙1.7亿年是吧，他这他妈还是2亿年一个小原来崩，他妈一夜之间恐龙没了，那我认了我我我认了，真的哥们儿这他妈这还不认吗？他妈世界都没了，我不重要了，我那账户三瓜两枣不重要了。
	所以我觉得白酒的逻辑就是一定还是要看长线，尤其是一定是触及到了各个地方政府的财政利益，所以要马上发现这个问题之后，赶紧就纠偏。我觉得这就是为什么我说中国有高人，中国但是说一开始中国所有东西都矫枉必须过。正因为中国太大了，14亿人太大了，历史上还从来没有一个这么大体量的国家能够如此高速的发展。所以中间这边就有点问题是很正常的。所以我那天我也说我坚决拥护国家的这个严严打这个违规吃喝。但是我相信就一定是要么是党建层面持续抓，严格抓、持续抓、坚持抓，一定是这种层面的事情，而不是说都他妈别弄了，不可能的。所以说我觉得通过这件事情来看，尤其是人民网评，这基本上就代代代表了一个非常明确的态度了。所以我觉得大家这方面也不用过于的恐慌。
	逻辑还是那个逻辑，就是人家整个四川、贵州，中国最最贫困的省，就是每年国家转移支付最高的几个省之一。人家这个白酒每年是人家占当地GDP的恨不得他妈10分之1了，人家是几条腿的重要一条大腿，你搁这弄了，这不可能。所以以我的渠道来讲，包括大家去看二季度白酒的业绩报告，不会有什么大问题，你们会到时候去看，尤其是这一波618，它整个的库存通过降价快速出清，所以我觉得整个问业绩问题不大。为什么有人说比如说191935，他从当年的1500降到1100，又又降到800多，这回又降到700多，从七百多又降到了六百多，说那这牌子不就完了吗？哥们儿不用担心，明年台子或者下半年台子再再给你弄1949明白吗？就是接着奏乐，接着舞，叫猫台new story明白吗？哥们儿就是白酒人都是都是这么玩的，叫猫台new story就完了，重新来一个。所以说不用什么有太多的担心。
	而这一波对于所有的酒商来讲，对酒企来讲，就是要赶紧把经销商或者渠道内压的这些库存全都给先清掉清库存。清完库存之后，就是像当年2010年、2012年、113年的名字一样，或者像2009年、2010年的阿迪一样，快速去库存。现在这个是最着急的，所以说我觉得白酒一定是长一定长期一定是看逻看逻辑，而短期看情绪，这是我个人的观点。所以我咱们今天都是自己人我就再补充这一段。
	然后好，咱们把这几件事情跟各位先都交代完了，然后下面咱们就开始细讲一下创新药的五大方向。刚才说了咱们今天首次提出来的中国new story是什么？第一科技，第二消费，第三是医药，第四是文化输出。
	科技目前来讲的话，比如说像大疆deep seek那这种，然后包括未来如果说咱们能把14纳米跟7纳米，他不了真正量产。然后整个的这个品品控能能一下把这个把把这个率提上去。那我跟你讲，这个对人家是一个非常大的一个打击，价格战就来了，就基本上全球市场就拿了。所以这未来就是科技。
	第二是什么？第二跟他说消费，消费是什么？比如说像毛戈平，毛戈平现在只是在大陆，那也是东南亚是一圈，东南亚是一圈以后嘣在他妈到海外慢慢的走出去有没有希望？就跟当年羽熙走出去了，对吧？包括日本的，不那个对日本的ISK two，它怎么全球火的，无非是再复制一遍，所以这是一个消费的一个故事。这个医药主要就是看创新药，创新药这个力度是相当牛逼的，所以最近不也惊动了川子，是吧？川子要搞搞你一下，但是这个概念他跟他搞不了，他搞不了。
	第四个就是文化输出，文化输出的话一定要紧紧的盯住tiktok平台的新趋势。无论是什么服装品牌还是什么产品，我认为中国未来运动品牌出海最重要的一个平台也是tiktok，大家可以关注一下。谁先拿了，沓子、李宁，什么3361，不，然后这几个谁先把这个套平台拿了，谁就有可能是下一个中国李宁。所以大家一定要关注这一点。
	就是目前来看，为什么高盛给中国的什么十大什么十十朵金花，最后一个给了安踏。我不知道各位有没有注意，给了安踏，为什么？因为老外不知道安踏，但是老外知道始祖鸟，知道萨洛蒙，知道那些7788的那那那那些牌子。
	就是在老在美国人这边他们说的什么？他们说的是安踏是中国的lululemon，是不是跟咱们理解的这个安踏的印象不一样，对吧？但是不重要，就跟说老外认为拉波波so q so cute，说哪个中国人说你说就是别别跟我杠，说拉布布就是Q就是beautiful，他妈都给我都Q那中国人认为他们为什么前两年不火？2023年就有了，对不对？那怎么没在中国火火起来呢？不因为老外看懂了吗？老外看懂之后，出口转内销进来这两个礼拜彻底出圈，爆火爆火。
	所以说老外对这个牌子的认知和咱们对这个牌子的认知是什么不重要，重要的是老外认不认，明白吗？哥们儿就是老外认不认这个很重要。就跟老外认为中国的好电影就是藏龙卧虎那种，藏龙卧虎那种就是天上飞来飞去，去去就来，哼哼哈替他认为就应该是这种玩意儿，或他认为中国的美女就是杨紫琼，就是章子怡，对吧？但咱中国人的认为的这个中国式的美女可能不是这些，但不重要，重要的是老外认不认。
	所以大家要关注，后面一定要关注，因为咱们等于说把这个就发出去了，咱们把这个叫什么这个叫叫什么搜集信息的任务，咱们就发出线同屏是1.9万，咱就发出去了。这2万人你们就关注盯住说哪些牌子，特别是上市公司在tiktok上面，无论是东南亚还是欧洲，还是美国火了或者有火的趋势，而社会上还不知道。那你们可以给我发消息，后来给我发私信来提醒我行不行？
	你们是初步那什么，然后我来给你们细加工一下，因为我不想再错过下一个泡泡了，真的。所以说米儿这个是是是，这是米儿赚的，是该赚的钱。但是作为我作为他妈泡泡长期的消费者，给我女儿买了有六年了，五六年了，他妈居然错过了泡泡，我操看不懂。因为我说了，我这个泡泡如果要看懂的话，我肯定不是说这波涨起来就涨起来去操作。而是之前他们他跌的那么便宜，等于说他跌的那个位置跟他们名字跌到11块钱他妈是一样的。
	而我的认知干了名字而没干泡泡，你知道吗？这是个问题，所以我一直在反思一直在反思。所以咱们大家咱都散出去1.9万人，咱们就散出去，你们就去找说在这个tiktok里边，无论是东南亚还是老美，对哪些中国消费或者中国文化，有一种他们的共识的趋势的时候，马上传递过来好不好？
	行，咱们把这个说完之后，咱们来讲一个4分之1是什么？是创新药五大方向。真急了什么，没没没没没有没没有急，我只是在反思这个问题，就是活到老学到老，这有什么可急的？
	这钱没赚到是很正常的，因为我认知不够，怎么能赚到呢？这是很正常的，对吗？哥们儿就相当于咱们今天我微博发的那三个案例，对吧？就是说如果您对这玩意儿我聊了一个月了，您还不重视，那就是认知问题，那这钱你就赚不到，这不很正常吗？你不会遗憾的对吧？所以我说了这个泡泡的钱没赚到，不遗憾。哥们儿不遗憾。就只是说这个东西就是咱们之前讲的，就是赚时代的钱，赚时代的钱。
	咱们下面就细讲一下这个什么。细节创下五个方向。
	首先咱们要因为很多人，可能你们平时不关注这块，一说创新，只知道这仨字。但什么叫创新药，你们可能不太了解。所以我先简单的聊一下背景，所谓的创新药。稍等。
	哎。
	稍等我，我回个消息。
	好。
	没改充电直播，现在就是充电直播。现在是充电直播吧，现在？就是说进来有会有个三分钟试看。是OK。
	好，就是在医药行业里边，就中国这些所有的药厂，或者开发药的这些公司，你可以理解为两类。一类是仿制药，比如印度就是仿制药的大户大国，印度仿制药。第二类就是创新药，然后这个世界里边说最赚钱的在医药医药里边，医药行业里边或者在药厂里边最赚钱的是什么？是创新。
	为什么？因为你可以全球卖授权，放在咱们这儿，现在说法叫什么？叫BD。BD是什么？是business development，那BD的核心模式是什么？是有两个模式，一个是license out，一个是license in。
	而对于咱们的而对于咱们的目前的所谓创新药的概念来讲，咱们是强调的是license out，就是咱们要向外授权。为什么？因为是咱们去完完全全的拥有一个药的所有的产权拥有权。对，就类似于IP授权。
	比如说咱们说拉布布就是泡泡玛特的创新药。就这意思说如果说未来说nike要跟拉布布出一个crossover的联名产品，那你就要从泡泡玛特去买拉布布的这个全。那放在医药里边是什么呢？就相当于说如果中国开发出了对某一种特殊疾病或者大众疾病的一个特效药，中国先开发出来了，那么你美国人如果要想吃上的话，那一般有一个会有一个美国的药厂去把你这个药的在当地市场的销售权给拿到。
	所以咱们先强调一下两个概念。一咱们国家的医药行业现在正在从大量的仿制药往创新药这个趋势去变化，这是第一个。大家要一定要有一个概念，就相当于什么？相当于就最早互联网咱们这边先弄了很多学雅虎的或者学google的这些。比如说学雅虎是谁啊？比如像早期的新浪对吧？学百学那个google的谁啊？是百度。然后现在慢慢的变成了咱们的tiktok往全球去推广，就是小视频短视频平台，这是他们确实中国人发明的，你不服不行。所以这就是在互联网里边的中国的创新药，所以要明白什么什么叫创新药。
	第二就是创新药的它的你说你看什么看什么，一个是看国内市场，但是最重要的是创造的大的估值体现在哪儿？就体现在它的BD水平，就是说能不能向海外去做出卖出更高价格的授权费，能不能这样，这是特别重要的。而在这个license out里边，向海外授权的这里边有三笔收入，三块收入是最重要的。
	第一块什么是首付款？就比如说最近三生制药，辉瑞卖给辉瑞了，好像刚临床二期。然后这里边就觉得这事儿已经成了。辉瑞就花了12.5亿美金首付款，完成了一笔目前至少是目前在中国创新药圈最大的一笔BD成功案例。光首付款就12.5亿美金，但是有三块，是哪三块呢？一个是首付款，一个是里程碑付款，一个是销售分成。也就是随着你整个授权的全过程，你能赚三笔钱。
	这也就是说这么多年辉瑞赚中国的这些药企的钱，怎么赚的呢？也是首付款、里程碑付款和销售分成，现在等等着咱们反过来了，反过来了就是相当于随着我为什么刚才花了很多时间去去去讲泡泡，就在于咱们年轻人都懂泡泡，对吧？所以你只要把泡泡整明白了，你就知道创新药的价值在哪。就在于你就可以把这个三生制药辉瑞卖给辉瑞的首付款，这12.5亿美金，这件事情在行业内的震动，就相当于把它理解为泡泡的蓝布布在美国市场的轰动。这块能不能对上？
	兄弟们这块儿能不能对上这个概念了，你就知道说最近市场在炒创新药，炒什么呢？那创就是你可能你之前觉得娜娜图形好，又是Z哥又说了一个创新药，你就干进去了。但是它背后的逻辑是这块，所以说你就会知道说，如果娜娜未来二期完了以后说三期或者是直接去审批了，审批之后批准上市，还有个2 11年到2年的一个准备期。
	说那在这个过程中他能不能持续的往上走，能不能持续的做，你就要看娜娜的BD进展如何。如果说光是卖中国市场，它可能只值现在的价格。但是如果说他的BD潜力开发出来往欧洲，然后往美国，你他妈能首付款能够干一个他妈在行业内那有点有有点有点规模的那他又能再往上一个平台，所以你就知道BDBB那个你就知道创新药炒作的三个阶段，第一阶段是概念阶段，就是谁有对吧？你得来一个什么，你这个A药厂，你治什么的，你有没有在弄创新药，你还是说一直在卖仿制药，还是说你这么整乱乱七八糟的。首先你得有没有这个概念，对不对？然后第二阶段炒什么，就是你这个概念靠不靠谱，进没进临床，进没进他妈的这个审批环节，或者说有没有被批准上市，对吧？也就是这个确定性。
	第三是什么？你上市之后，你的商业潜力，就你只是弥补了一个特别小的市场，还是说你弥补了一个特别大的市场，还是说你弥补了一个全球比较小的市场。但是你一旦成了，你他妈就是第一。所以这是他的第三个阶段，就是他再往上登的一个逻辑是什么？所以咱们先把前面的这个创新药，咱们就整个它是个什么东西，咱们先讲明白了好吧？这个应该是我看基本上是不是应该还是挺清楚了，对吧？OK下面咱们就讲五大方向是什么？
	五大方向。首先咱们要讲就是我说的这五大方向，是目前来讲是中国这边，中国这边说已经基本上他铺了，就把它理解为要么是卡油，要么是小泡泡，要么是小小卡油，就是已经有点进展了，而不是说停留在概念阶段。所以说大家就未来下半年或者到明年上半年，这五个方向都可以持续关注。
	第一个方向是什么？是我觉得屏幕前有很多人都会都会有的一些症状，是什么痛风，所以第一个方向是痛风。痛风的话你们不要打个股的名字，就踏踏实实的。痛风的话目前来讲中国比较靠谱的两个，什么性压抑踏踏实实的，踏踏实实的行吗？首先第一个是痛风，痛风中国比较靠谱有个AR882，是非常有潜力。就是他这个药出来之后，能够它的药性明显要比目前市场上存在的这个要好很多，所以说大家这个是一个其实特别大的一个市场。中国很大，海外一样，就是海外的痛风比中国市场还要大。
	为什么？因为他们老外吃的猛，你知道吗？为什么什么营养餐，或者什么什么减肥餐，或者什么什么所谓的什么什么风尚，为什么是从老外先他妈传过来的呢？是因为人家先他妈营养过剩，你知道吗？方方面面。所以这个是很重要。所以第一个方向是痛风的方向，而痛风方向中国这边很有可能未来取得一个大市场，而且他的他的研发的这个方向，几乎是认为是下一代，而且现在是比较已经比较靠谱了，现在就是等等结果了，所以这是一个痛风的方向。
	第二个方向是什么呢？是自免类的药物自勉方向。自免这边来讲，其实已经是存在了很长时间，存在了很长时间。那目前来讲，中国这边有可能突破的是哪几个呢？有三家公司，你们可以具体的去问问deep sik，咱们还是说跟之前一样，跟那个可控核聚变一样，或者说跟那什么跟第一波创新药一样，你们去DB这个，我把方向给你们，你们去去去D去DB这个，第二类是自免类的药物，第三类是什么？是一个大的品类，肺癌类的药物。
	肺癌类就是一定要有人说现在高了，哥们儿知道互联网金融，当年14到15年，现在完全不高。我告诉你们一个所谓的看一个票高不高的一个基本的感觉，就是说打瞌睡了是吗？因为有点枯燥是吗？哥们儿这个学习肯定是枯燥的。我告诉你们怎么看一个票高跟低，首先看行业，说这个行业是新兴的，还是说存在很久的，看行业就是看基本面。第二看什么？看盘面，盘面怎么看？如果说这个票这块这个行业里边普遍这个行业里边的所有票，他目前的位置还没有创出他之前上市的那个首发价的位置。这就完全你可以把它当做还没有炒过，这是大家的共识。
	比如你去扒拉有好多创新药，最近说从底下爬坑出来已经翻番了。但是你去看他妈连历史上IPU当天的高点还没超过就还没出坑。明白这意思吗？也就是说他完全没有兑现当时他上市的时候，市场或者说整个这个行业给他的一种期望，这他妈就完全就叫没动。哥们儿就是你不能说你从低点到高点翻翻，你没进去就说这个药就是说这个票就他妈高了。不是哥们儿，这是先知先觉的人，人家先埋伏好了，就跟说你如果说4月7号进的泡泡，你到现在只能赚120%。
	但是你要是跟当时咱们见宁宁，你跟宁子，咱们当时他妈一年半前靳宁子的时候，你他妈要是30块钱进的，人家就都已经他妈是那个五五倍10倍、五倍、八倍了。明白这意思吗？就是总有人先来跟总有人后来。就是为什么所有票随着它价格越来越高，随着它不断的上涨，它才能不断放出量，为什么？就是不断的扩圈认识他熬熬慢慢的形成共识了，所以这是第二个。
	第一个先看它的行业是新兴行业还是传统行业，对吧？然后就看它行业的前景。第二是看什么？看他妈他这个图形价格的位置。你们可以拿谁啊？乐视已经退了，你们可以拿东方财富，或者拿这个，或者拿谁？不就拿泡泡也行，拿泡泡或者拿米儿，拿这个拿拿拿这个三个案例，你去找一下感觉行不行？找一下感觉你就知道我说的是什么意思了。
	你就去看在轮到他的时候，他就算从底下吭起来就算三倍，就算三倍，还他妈破发。如果轮到这个行业了，这个行业感到时代大爆发了，这他妈就还没涨。哥们儿前复权，前复权就还没涨。如果说它上市的时候已经炒了一波了，那就以它上市之后炒的那波高点为这个坑的坑沿儿。比如说你去看华谊兄弟，华谊兄弟或者你去看乐视，他至少得先干掉丫的前高，后面再来一个new story去兑现他的这个概念跟价值。
	所以这两点有没有明白，就是怎么判断一个票高还是低，有没有长高有有没有还值不值得去做。有这两个同时风险提示是什么？是在于大A里边。如果说不是你的行业足够牛逼，或者说你整个的你这个你这个你这个你这个板块，你的这个时代性政策的引导性足够强的话，很有可能到了前期的高点就结束了。所以你就可以如果要是这样的话，你就可以把它理解为只是一个估值的修复，而不是像英伟达一样，或者像米一样重新上平台的过程。
	而真正牛逼的行业的牛逼的票，特别是主线，主线一定是先收回来破发。比如你就拿米儿去看芈儿，历史上什么乐视、东方财富都是这么走的，华谊兄弟都是这么走的。他你得先收回你的IPO的首发价，然后再说回你的他妈的这个历史新高。然后以这个为平台，就锅盖，我们就说这叫锅盖，然后以锅盖为新的地基往上。向宇宙发出自己的呐喊。所以大家这两个角度那你去感受一下你去感受一下，就明儿上了以后破发对吧？破发到九块，又又先回到之前的那个那个然后就因为要坐车，一把登到三十多，然后一把又回到12，12，他妈再往上走的。是不是？
	先收复他的上市的首发价，然后再收复他的前高架，然后以那个为依托蹦极再往上登一个新高度升平台，所以大家是往就拿这个包括泡泡、东方财富、小米儿、乐乐视、华谊兄弟，就这几个这你们非常看得懂的懂的这票你们拿这个去，咱们直播完了之后，你们去找感觉，就跟上次那个少妇战法那三个标的，你们不是那个那个股票战法那三个标的一样，反复的把那当成今年的就去找就行了。所以咱们来说创造五大方向。第一什么？第一个痛风，这是特别大的市场痛风。第二是什么？第二是肺癌类的，我讲到肺癌了吗？我我刚才我我我我这没有稿，之前讲完五大类的，第三个肺癌类，第二个是自身免疫，自勉类的自身免疫性咱们就不再宣读更具体了。真正的标的没有多少，稍微动点脑子，就创新药自身免疫类的这个市场有共识，非常有潜力的进入到实质阶段的那你一搜就就就那几个就那几个。
	第三类的是肺癌类的，肺癌类肺癌是世界第一大癌症，他的整个的致死的人数是遥遥领先的。然后在中国，肯中国14亿人更多，所以中国第一大癌症就是肺癌。然后你等于说在在如果说你在中国有一个肺癌类的，如果你能够他妈的突破的话，我操不得了，更别说像海外了。所以说这个也也基本上也基本上是就那几家公司。
	然后咱再补充一下，说最近你们看都期待一波，这是为什么？叫叫太阳出来我爬山坡。记住这个票后面有没有潜力，完全取决于他的第一波牛不牛逼。案例是什么？是09年10年的高铁，你去看近亿实业，拿它当一个案例，或者如果说稀土类的，你去看广晟有色，如果说互联网加的互联网金融的，你去看东方财富。就还是也就是第一波，慢慢悠的。
