	来测试一下声音行吗？画面来了声音行吗？
	所以咱们刚才讲了，咱聊到哪儿了？对，聊到主题的投资，主线投资。比如说咱们上礼拜提到的核聚变，对吧？当时我记得咱们在外盘，咱们去聊的时候，大大直播很多人看看不上这弹幕，说吹牛逼是吧？你不用就这么的，你你你怎么这事儿要成了。比如说现在已经核聚变，一个人造太阳放那儿了，那然后它的整个能够连续稳定三个月，那就没咱事儿了。那他妈就已经就跟光伏，当中国所有的农村的房顶上都已经架满了太阳能的这板之后，你看看你光伏的票已经都跌成什么样子了。
	所以说可控核聚变咱们说是这算什么？这算主题投资，也就是所谓的是概念炒作主题投资。所以像这玩意儿就得快进快出。他如果你要是少部阵法，你玩他的话，你就没法说我右侧从不止损，或者这个我拿去不动，那他妈你就熄火了，那你就吸我了。所以一定要分清什么是主线投资，什么是主题投资。
	比如说米儿，米儿是什么？米儿是非常典型的主线投资。为什么？一新能源车，二消费电子，那就新消费电子这个是实打实的，伴随着国补能够在业绩上有明确明显改善的，所以芝麻的叫名儿，你就踏实拿出这么多腾腾腾，对吧？
	就企鹅队队长，这他妈也属于主线投资。你你要你要大模型有大模型，你要游戏有游戏，然后你要社交软件有社交软件，你要这个流量平台，有流量平台就是你要科技有科技。他还投了很多半导体的这些孵化了很多半导体的公司，你能怎么炒它都是主线对吧？
	所以说在主线咱们你会发现曼城的阵容基本上都是主线的东西。所以为什么就睡得着觉？比如或者大盘反弹，他没反弹。不着急，就是有句话叫叫功成不必有我，不功成不必在我，但恃功成必将有我是什么意思？就是说你市场你随你随机摁这个板凳那边你登到最后你还是得回归主线，为什么？因为你只有主线才有足够的资金体量的号召力。
	我不知道各位能不能明白这意思，比如说创新药这两个礼拜涨得很好，对不对？为什么涨得好啊？因为标的太少，盘子太小，你只要稍微的有几个资金一合力嘣就起来了。但是你说在这种情况下，能容纳说市场的大钱、大资金大的机构，什么险资也来配，那么大功率来配很难。
	同时创新药目前来讲，比如我一直说的那个抗抑郁，就那一个标的，康智康治老的，那这一标的，然后你会看到什么？就是他刚二期，二期完了还有三期当年重庆啤酒做了多少期？到最后8直接连续七个跌停板下来，还是八个，我忘了。就是没到最后投入市场的时候，这些东西都叫主题投资，都是快进快出，都是做右侧，就是在右侧里边做比右侧里边拿少付战马抡的，然后也不要去想着我拿着不动，不要，就一个波段一个波段的做。一个波段做，所以这是提醒的第三点，提醒的第三点就是说当你在用少妇战法的时候，你一定要了解你玩的这个标的，到底是主题投资还是主线投资。这你自己一定要有个概念，如果主线投资的话，说你没有第一时间止损出来，你后面基本上淹淹不死，淹不死无非在找节奏，就是你跳舞，你踩点这点他妈没踩。对，但是你别着急，你别慌着下台了，你再再听一会儿，听会儿音乐，点儿就来了。
	但是你要是这个主题投资，就是概念票，你要是他妈的熄火了，你说该止损没止损，哥们儿你你你你你基本上你就是音乐说没就没，到时候你就不是节奏问题了，你就是缺胳膊短腿了。所以大家一定要这第三点，一定要明白这什么叫主题投资，什么叫主线投资。然后像比如说我一直建议大家在村委会里边，就是村委会都是主线。那就是中国很大泱泱大国，14亿的大国，每年GDP这么多，他一定会有很多很多个主线的。然后当主线来了以后，他也不是现在的资金体量，也不是空一下就他妈起来，而是胡胡胡萝卜什么胡胡萝卜蹲胡萝卜蹲，胡萝卜蹲完，冬瓜吨，冬瓜吨，冬瓜吨，冬瓜蹲完黄瓜镦黄瓜镦黄瓜镦，黄瓜镦完西红柿吨。一定是有主线里边是有轮动的，但是概念票主题投资就没轮动了。主题投资就是跟你打什么燕仓鼠，燕燕鼠，你这一锤子下去，你不知道他从哪蹦出来了，知道吗？它不是轮动。
	就比如说你们我咱们开始聊大富翁，聊了一年多了，你们一每次都问我低空飞行别闹了行吗？我上小学就他妈低空飞行，到现在也没飞起来。不可能，这件事就根本不可能。像比如低空飞行准备就属于主题投资里边的这种概念，纯炒作也没有业绩支持，也他妈连连就连连连纯真正的政策支持都没有。
	你说你要是前年你干了一下，你就说实话，你这不知道什么时候你能够再从哪儿再冒起来。这不可能，就中国不可能有地空背景。比如咱们要出国了，去美国洛杉矶休休斯顿达拉斯菲尼克斯，纽约就是你一抬头就嘟嘟嘟嘟嘟嘟嘟嘟嘟，就是人直升飞机是人的一个交通工具，那不是光有急救时候或者是什么行政的出行，不是，就是人家他妈，比如大大公司的总经理董事长什么的人，就包括科比对吧？人这他妈这是人交通工具，但是在咱们国家有吗？不可能吹牛逼，我再说一遍，吹牛逼，所以说不要再不要再问我低空飞行的事情了，那不要再问我低空飞行的事情了，纯属吹牛逼。如果说你曾经做低空飞行赚了一波钱，哥们儿农资母资，运气好，踏踏实实的。所以这块讲的就是一定要分得清主题投资跟主线投资。
	然后所有的少妇阵法，你们也折腾一个月了。所以咱们把第一小段咱们做一个总结。第一个总结是什么？第一个总结是什么？是烧铺量法，一定要降低交易频次，一个礼拜一个最多说你同时间发现我今儿有俩真棒，今儿我这俩这微信必须得加了，你再弄俩，否则一礼拜不要超过两个，不要超过了。为什么？因为如果当你选对行业、选对赛道、选对主题或者选对主线的时候，其实你这一礼拜你买一买俩或者都都差不多。但是你要有节奏，一定要有节奏，好不好？
	这是第一个，带着中线思维玩少妇战法，降低交易交易交降低交易频率。第二个是一定要分得清主题投资跟主线投资。所以对于曼城阵容来讲，主线投资就是曼城的主力阵容。替补或者视讯的就是主题投资，就是概念票右侧玩一把就走，赚到就赚了，赚没赚到就算了。
	然后第三就是我刚才强调的那第一点就是如果我说了我已经卤煮了，我或者我已经剪了，或者甚至我已经拍掉了，像比如新先锋我说拍掉了，这种情况下你们不要短期去玩B1，因为一定是我认为中线差不多了。但如果说你们玩了中线B一后面他走好了，那也是很正常。因为我说我不可能全对，对吧？我指的是玩一个概率。但是目前通过事实来讲，是不是我这概率还行？所以如果我要是能始终保持这个概率的话，我也希望你们也能够去有更多的风险意识，这是这这三点。
	刚才有人问说可控核聚变，可控和可控核聚变是非常典型的主题投资，纯概念炒作。为什么？因为离商业化整个行业内离商业化简直还是完全就至少五年，这就这这五年你能够见到商业化的那个影儿。我认为我个人咱纯纯猜测，咱胡说八道纯猜测。我认为可控核聚变可能是未来15 5里边的一个很重要的一条。所以就是他未来至少从这个五年之后，他可能未来5到10年说在中国你可能刚刚看到有个影儿，对吧？
	虽然说可对吧虽然说可控核聚变这件事，比如用的最最多的是托卡马克是吧？托卡马克装置这是前苏联一九五几年就开始玩了，到现在都快70年了是吧，也没玩明白。你说咱咱们咱们国家整两年就整了，不可能。但是合肥那边那是哪家公司？你们有人可能专业学这个的，我没你们那么专业。合肥那边有一个叫什么公司来的，他不就是把把把把这个托卡马克装置直接是弄到上亿度。
	坚持了大概是稳定了1066秒，对吧？1066秒那还其实远远不够。一般你至少得稳到3个月，稳到三个月你你就你才说有可能见到那么一点点商用的可能性。
	所以说中科院的是吧？对，所以说目前也就到这程度了。但是到这个程度并不影响机构拿它作为一个主题去炒作，不影响。所以说你就可以预想里边说在这一年里边来讲的话，一般量就一波就一波。无论是这个包括创新药也是就一波。所以我为什么在三个礼拜之前，我跟各位说，我说创新什么的，临床二期了，抑郁的、减肥的，这些非常的明确，在于他们当时就是有人要干一波。
	那第一波芭拉起来，咱们一会儿拿图说。第一波芭拉拉起来放量，然后一个缩量八缩回来之后，我就在缩量的那个阶段，我跟大家说的，我说大家等着第二段第二波就完了。第二波把这个嘣一下震起来，对吧？从他妈的多少钱？19，但到49，这二十九多少我记不清了把，就这一波，所以说不要追。今年到年底前就这一波了，然后明年随着它进入三期，可能到时候再什么其他的再结合资金再一回来，到时候再说了，29到49是吧？
	有人说我说有看你们微博评论，说Z哥只说可以开始看了，所以我不知道这就是如果有人你们是干这行业或者你们那什么，已经可以开始看了，就这意思听不懂，对吧？就是可以开始看了，开始看就是你能我我就是我我们行业就是业内都是这么说的，就是可以开始看了。比如说最近你在看什么行业呢？我在看医药，最近哥们儿你在看什么行业呢？最近我我我在看看看TTTMT，最近你在看什么？我在看券商。就是看的意思就是已经在关注，关注意思就是比如说说过少夫战法了，倒逼该轮就轮。所以说我觉得因为大家毕竟不是一个层，就是认知。咱们现在是等于说有很多干做了十几年的也在咱们直播间，有些真的纯新手或者还在上学，以前没没了解过OK。
	那咱们今天统一一下，比如说你在看什么行业？比如卖卖卖方，卖方来开会。比如我们当时我们都是基金经理，我们坐这儿来看你讲，他路演，然后他说那个那个下各位老总下一阶段，我们建议大家重点看可控核聚变，就重点看这意思明白，看就是你要关注就准备了就干什么。比如说到到了到了三月份四月份春回来，说各各位老各位老总，我们现在就开始重新看果链了，这一次开始你要去关注了，到了你的交易策略的买点，你要开始去要么建点仓，要么是开始那什么了，明白吧？
	就是开始看，这他妈叫看。对，就是开始看了，可以开始看了，明白了吧？行，所以咱们刚才说可控核聚变这块很明显就是一个主题概念投资。所以一般来讲的话，这就是曼城阵容里边就是一个替补，或者就是一个试训。所有技术替补跟视讯的票是什么？就是右侧第一一锤子买卖，干就干了，止损该止损就止损，出来了，该拍就拍掉。
	就是你就记住这个妈，你你你把弄人了，比如说雪人再说就是那个雪王，咱说雪王是什么？雪王非常明显，此时此刻它就是属于一个主题投资。他那么高的市值，你让他透支了他未来好几年的全球的业绩，你是真的纯看是吗？我操你纯看他从29到49是吗？那牛逼可以，以后记没记住？
	所以我一开始我咱聊大风，主要我说咱是我我是服务咱家老粉，已经三四十的老粉，平时你们也是玩这个的，我以为大家都能够知道是什么意思，咱们接着说过来。所以说像比如说雪王雪王是什么？就比如我跟你说，我说新联盟我也不看了，我是不是经常说，我说你们老问我新联盟，新联盟我都不看，很久很久都不看了，是不是这块就对上了。你们老老还前段时间还问新年新前锋，我这不新前锋我都不看了，我都不知道，就是不看了，明白吧？看你就把它认为是瞄准，瞄准就叫看好不好？然后咱们刚才我聊哪儿了？聊哪了？
	对，比如说雪王雪王就是非常标准的主题投资，雪王的主题投资它来自于谁的引领呢？来自于PPPPMT，来自于PPMT。对，六一儿童节，我就是给我女儿买了两千多的拉拉布布、卡卡库库。布布叫什么？是拉不不叫什么来着，反正我就是给他整了六一儿童节。拉拉不对，咱就说这玩意儿就是家长哭哭的买，我今天看哭哭的买，北京不有泡泡玛特乐园吗？是吧？我操他妈的就抢疯了，抢疯了。
	但是所以但是在咱们站在咱们投资或者投机的角度来讲，PPMT依然到目前为止它是一个主题投资，他不是主线投资，主题投资未来可以发展成主线投资，但是目前来讲它还是停留在主题投资的阶段。因为整个他你你把它，你把PPMT，你把这个布鲁可，然后你把这个什么那个那个毛毛哥，然后你再把毛铺，不是毛毛毛毛铺，不是什么什什么铺，姥姥铺，你把这个老铺都加在一起。其实就这么几个标的，他没法形成。说你市长，你说你PPMT，你扒拉个10%，整个港股也能起2%。
	你有天你的权重跟你的市场号召力能够达到这个程度了，你才叫主线，你才能够容纳更多的大资金。而现在很明显，无论你市场，无论它涨还是跌，影响港股走势吗？影响大A的指数走势吗？不影响，他能号召起来谁吗？他也就那么的号召，那两个小弟，他还在创着新高，咪就已经往下他妈跌到快他妈跌到新低了，跌到新低了。
	所以说这个一定要分得清主题跟主线是什么。主题是是要么是压一人哭哭的蛋，要不是他几个相关的标的哭哭的蛋，同时对整个市场没有什么赚钱效应。比如说你你你屁屁你再涨30%就没有赚钱效应。就是整个市场上大家什么游资来了没几轮没有了。但是你说如果说你把一券商给登进来，我的千军万马就来相见了，就不光你是券商这个主线八他妈起来了，同时他妈其他7788的工都起来了，就是有号召力。所以你要分清什么叫主题，什么叫主线，一会再强调一遍。这个。
	银行算不算主线？我觉得银行这么多年以来一直算主线，而且我个人认为纯个人观点，没有任何的什么什么引导的意思。我认为未来当大A出现一段相对流畅的估值提升的行情过程当中，我觉得银行依然是主线，我依然认为中国的银行太便宜了，就不能太便宜，还是属于非常便宜。你说银行天天创新高，我跟你讲还他妈很便宜，为什么？
	因为我说了很多遍，中国的大A现在是跟你在中国你想发财看谁看财政，中国的你就是看财政，那财政现在在跟谁绑定的？谁溢价10%参与增发对吗？就是说这个是这是这就是说当你跟做决策的这帮精英你们俩站在一起，是你聪明还是他聪明？是你有钱还是他有钱？是他妈这些听你的还是听他的，所以我说，但是你不用说去配银行，我觉得没有什么必要。
	因为什么？因为已经有四个后卫在第一波红利里边了，你他妈有什么可配银行的？人他妈红利给你配好了，对不对？你着什么急，对吧？就是银行不动的时候，红利里边的其他的票是动的，你着什么急？对吗？
	所以说你们不要像外面散户一样，咱今儿都自己人，快1.4万人。你们不要跟着外面骂说银行又拉了，银行为什么拉？因为便宜。我再说一遍，因为便宜，银行便宜很便宜。
	咱们是14亿人的国家，就是咱们国家干任何一个行业都能给一个行业干黄了。最近今天不又新出了一个中国汽车行业的自律，对不对？这个别在那别再内卷了，没用。只要你中国人不要，你不要让中国人干什么行业，只要一干八一段时间过，这行业就没了，没了就谁都别赚钱，这是客观的，为什么？因为在于咱们中国人多，真的是人多，没办法，比如芯片别着急，芯片就是没没突破。为什么美国那么着急，对吧？
	美国太着急了，就在于他们这个科技头顶那个那个王冠上面那个钻石，很可能能过个几年就被咱直接弄的他妈的比锆石还便宜，他妈的比塑料还便宜，就这就这意思。所以别着急，就包括今天热搜C919发动机停止给你供货，对吧？他没办法了，他黔驴技穷了，他真的没办法了，没办法，他就必须要，他现在就要拿出，相当于什么？相当于就是滚滚长江东逝去，你非要跟中间那螳臂挡车，你你你们你非要住点小小土坡，现在最后他有什么就往里扔了，有就往里扔，有就什么麻麻袋口那什么的砖头，有就叭叭，就他妈往往里扔了。
	但是从大的宏观角度来讲，那意义不大。同时咱们能够大大方方的承认说，你老美把我发动机限制了，咱叫什么？我再强调一遍，我再跟你说一遍，咱们中国的文化博大精深在于什么？就是在于是你非要把徐州给我的，就是你非要把荆州给我的，我不要你非给我荆州，就是师出有名。所以就是说不是我们非要搞一个牛逼的发动机出来，我不买你美国的这个产品。了不不不是，这是你你逼的你逼的对吧？就相当于为什么中国内部也是有很多矛盾？各个国家都是这样，同时也有各个不同的派系，派系跟派系的人要平衡，对吧？
	人平衡就是不断的这边放出消息，那边也放出消息，但终究是要让老百姓知道我为什么要这么干，就是要师出有名。师出有名。包括穿的反悔，说什么咱们没履行，我当时说了无所谓，旅不旅行我不知道，但如果是我的话，我他妈就是签就签了你，你他妈非要你非要回家的吗？你蹲，但我已经走了。亲，你要非要让非要让我认我这我都无所谓。我不知道各位能不能明白这意思，咱们没有说一定就我认可说我跟你签什么，我就一定要干什么，因为我已经无所谓了，所以我相信咱们估计是没没怎么给他们要落实什么东西，因为我当时说的咱们已经走了。没必要是你非把我拉过来谈谈，我把车钥匙往桌上一一扔那谈，结果你爸你直接攻击给我跪那儿了，那我也没什么可可可说的了，那就那这这这难道就接着过，但是你说还回得去吗？你他妈空空的天天家暴，我能回得去吗？
	我曾经如此信任于你，你不用给我一嘴巴，又他妈给我一拳，给我打的鼻青脸脸肿，身上全都是伤的，你还让我怎么死心塌地跟你过，但是你非让我回来聊，我聊了你空袭给我跪那了，你这都就这有有点有点什么该给面子，你要签什么签，但是我说了，你后面他你再给中国加关注，你们加到145无所谓了，我拿行，咱们当时是不是说过这问题，就是拿就无所谓，你再加你牛逼，你再给我加起来，对吧？为什么呢？因为是咱们等于说是其实内外都可以。为什么？你老美要六月份七月份要赶一波圣诞节的。这个东西对于中国的外贸企业来讲，恰恰六月份七月份接这个单也是占全年75%百分之七八十。我不知道各位能不能理解，那就这波你一方面你又能过圣诞节了，我这边他妈钱今年的大部分收入我也揣裤兜了。那那后面的话就这样无所谓，你要闹明年，咱再闹到明年3月份。
	所以中间是这个逻辑，所以大家不用去太担心什么穿的又翻回了，真的明天再提到145，大A不理他或者大A锂的话，主线什么的就是无所谓。跟你礼貌性的给你跪一下，然后把再蹬起来无所谓。比如你后面记着，如果再来一个，他妈要重新给你加到145，或者重新怎么无所谓，当天再暴跌再加仓，那么肯定一悠起来无所谓。
	对了，因为咱们当时能够选择不贵，就说明咱们已经无所谓了。咱从2018年一直准备到现在，高人一直准备到现在，无所谓了，你他妈爱干嘛干嘛，比如说咱们而且还有一点什么，就是他这个咱们是被逼的。咱们今天C919，2025年我看数据，你们帮我去看物，因为我我不可能全全都全都说。对，就是我看到数据好像2025年C9191价没交，为什么？是因为你他妈老美，你不是今天宣布不给我出口了，你他妈从去年就卡我了，从我C919签了好几千件的协议之后，你就不给我供货了。
	是不是实话实说，真的不是咱们找事儿，这不是不不是咱们找事儿。因为为什么？因为咱们的百岁山很多，而且这些重点行业，这些生意也都不是咱小老百姓能赚的钱。其实人那边如果说你正常供货人，咱们没有那么大的动力，说非要去去去干嘛去自己弄。不是那样的，不是交了一架是吧，一价不后来没有交成吗？那一架是去年造好的。
	所以说这话有点扯远了，就是咱们要师出有名。这是咱们国家的悠久的5000年的历史传统，对吧？有人都不知道百岁山，哥们儿你这你你是彩色的弹幕，你不知道百岁山是什么？就是贵族水中贵族百岁百岁山。行，咱们这个开头，就是借着刚才话题，正好我先强调三点，然后还有一个，咱们能对上一个数据，咱对这数据咱们一会儿说。
	你是蓝色的，咱们这是第一点。第二个咱们就进入今天的正式的一个话题，咱们再把少妇战法再强调一遍。然后咱这边真的是有很多很多人才，所谓的人才就是说所谓的教育，教育实际上就是一个筛选的过程，对吧？因为咱们都上过学，一个班里边同样的教材，同样的老师，但是总是有80分以85分以上的对吧？但也有不及格的，甚至还要考个位数的，所以这是很正常的。
	但是我一直认为说学习这件事情，不是每个人都需要到一个特别好的程度，而每个人都有自己的天赋跟天分。所以你如果你要这么多年看我自己talk视频看起来，其实你一直会有一个明确的概念，就是你要找到自己的大爱的东西。然后我相信因为你们已经你们给我发私信，我看到你们很多人说，我在上学的时候，我我我学习不是很好啊。但是我我我听你讲讲这个大富翁，我就真能听进去。我每天没日没夜的看录播，同时他给我发那些作业有点天赋，所以这就是说东方不亮西方亮所以我还是希望大家一定要明确一点。
	一如果说您对大风这玩意儿没有兴趣，纯属凑热闹。我觉得您就记住一点，永远不要被套牢就可以了，就不要再往前精进什么了。如果说第二您是说觉得这玩意真有意思，我操这他妈带带劲，再劲觉得这是人生的一大乐趣，就像我儿子就他妈这是一个乐趣。
	这大过节别人都玩去了，别人都进山了，然后跑跑山去了，泡妞去了。我我我他妈我就爱跟这哔哔哔哔哔。或者以前咱们不这么讲的时候，不直播的时候，我就自己扒拉自己钞票，一天一天的过的也很开心。所以如果你有这种想法的话，我后面讲的这些所有的东西，我还是希望你能够去吃透。真的，你能够去去知道你一定会比别人强的。
	然后说你你你刚你比如之前听了那一个月，然后再去应用这一个月你自然跑出来了，说明哥们儿你有天赋，有有天赋，就像那个那个国家队那个那个前锋新疆那那哥们儿叫什么来着？我老说他在前面大范围搅和，那哥们儿就是体能好那四个字。哥们叫什么来着？他是从12岁26岁才开始踢足球，拜克拉木16岁才开始踢足球。
	那么这就是有点身体天赋，这球都不会停那但是人有点身体天赋，人就能踢出来。那人知道八八人，他妈人都能蒙进去，人家能蒙进去不是抵制老爸，踏踏实实的对，这就是就是但是咱要说什么？就是说如果您觉得这个自己完全努力过的都试过了，但是还没法挑战卖过自己的这个莫名其妙的人人性也很正常。因为这玩意儿就跟做这玩意儿其实就跟外科医生是一样的。不是所有人给你把刀你就能做手术，你不一定没准你在银行点点钞票点的快。
	人各有天赋。所以这块儿我是希望各位有一个概念，就是说尽量听，能听懂的就听，听不懂的尽量听。如果还是听不懂的话，我觉得就早早的放弃，这最好的就是该销户销户，早早的放弃。就是人生有很多发财的的途径，只是这个方法不适合你而已。但是我说了，咱们未来随着每个月往下逐渐的深入，我相信这个充电的人数会慢慢的变少，一定是这个规律。
	为什么？淘汰淘汰到最后我很期待的是这他妈就是应该是御林军了，那就应该是锦衣卫了，就应该是他妈的就是这精兵强将。为什么？因为困难磨灭不了你，然后亏损也打败不了你，无数的失败无数的起来，无数的再失败，再无数的起来，依然没法磨灭掉你对这个大风的热爱。最后咱他妈这就是就是咱的御林军了，所以说这是很正常的。所以说我说咱们这个大风的这个所谓的金奖或者说特训营，到最后一定是一个淘汰的过程，一定是一个筛选的过程。但是从我的本意来讲，我说了你们也可以听到我免费的大直播，跟咱们这个魏家军自己的内部的这个直播。其实你都能看到我的我的真诚，我还是想帮一个是一个，特别是最近这一个月，有些人用少妇战马之后给我发大段，我实在看不过来。
	就类似于说我以前亏钱，但是我现在已经能做到不亏钱了，或者我现在已经能做到微微开始赚钱了，或者我每亏一笔，每赚一，我知道为什么会为什么赚，这是最好的这是最好的。什么Z厂、东厂、西厂都来了是吗？你西厂能管的我要管你西厂管不了的我还要管是吧？来所以咱们这个一个开场，开场我觉得其实也挺重要的。现在用了45分钟做了一个做了个开场，那三点一定要记住，你们打出来好吗？我说一句话，你们打出来，你们打出来一。不要频繁交易，打出来。
	不要频繁交易，打出来。
	你们截个图截个图，每天睡前看一眼，不要频繁交易。
	至于说如何量化，咱们一会儿说啊不要频繁交易，打出来，然后把这个图都截下来。因为你满屏看到的都是频繁交易，不要频繁交易，对吧？
	第二。主线和只做主线和主题投资。只做主线和主题投资。
	只做主线和主题投资，然后截图。这边我整个说为什么做主线投资？意味着你就算是失误了，你这个容错率比较高，还能轮到你，能轮五年，五年能轮到你。比如说你你你你五年前，你你你做光伏你连续错了三年，那最后一年汇报演出的时候你还有机会出来，但是你他妈的轮着别的，你轮煤炭，那他妈五年都出不来。
	然后说主题投资，为什么我不是让你们去炒作概念小票，而是按照交易纪律右侧。第一轮这些主题概念票，为什么？因为你能赚到超额收益。就是这一年你说你的基础收益是什么？是红利低波对吧？它非常的稳。你今天有没有行情？至少我觉得5%到10%。
	你说你得加强一下主线投资，你轮了一下，轮了两下，你可能有10%。但是说你想你在做增强再做收益增强，你他妈抄俩。比如你今年抄了一个创新药，你上半年不用做了，你六月份空仓都行，对吧？六月份空仓踏踏实实的，就是你已经做了一个增强了，所以说只做主线跟主题投资，把这点记住，这是第二点。
	第三点。我想咱们精精精简点。
	Z哥走了就不看了，打出来。Z哥走了就不看了，打着了。
	然后截图，这三点是咱们内部的一个交易纪律，记住这三点。为什么？因为如果我卤煮了我放飞的票，或者说我已经中线不再看的话，就是我觉得大概率就是属于吃的差不多了，说后面有没有新高再来点什么有可能对吧？
	比如说我最近的一次是迪迪，迪迪我是在393，393到400之间平掉的，后面他不也冲了个409吗？对吧？但是我这这就这就你我不可能卖到最最顶部，但就大差不差了。大差不差说后面没准说一个月后再创新高了再说，对吧？比如迪迪最近连续跌一个礼拜，有点意思，竖着下来同时又外面又有噪音，我觉得有点意思对吧？那可以再看看关注，因为毕竟我没有全卖，没有全卖那个第一下来是不是？但是如果要是慢慢以后老跟着腻歪，老跟着腻歪，那就不行。
	有人说韩王算走了吗？我什么时候干韩王？咱们曼城城哪有韩王？我那天举例扒拉到韩王，对吧？我说韩王这可上可下，但是按照纪律操作也可以设好止损。咱们上礼拜说你们大概是有人止损四个点对吧？三四个点止损的，又止损了吗？行，这三点记住，这三点要记住。
	咱们下面就要详细的聊一下少妇战马。然后我先了解一下，因为咱们有老不断的新的朋友加入，所以我先了解一下。所有目前在直播间的，不知道少妇战法的有多少人，打一个不知道，我看看打一个不知道，就不知道说你们说了半天了，怎么你们老说少妇，少妇摸少妇摸哪摸他妈什么？打出来我看看，就是不知道少夫人瓦的打一，不知道我看看。
	我，哥们儿，你们行了这么多呀。就你们真真听话，说搬一个小小板凳坐边上，后面先听，别说话，果然不说话。可以，那正好我说今天，为什么一直说你们今天一定要看直播，一定要看直播？就在于咱们今天我觉得统一的来解决一下这问题。OK好啊，然后我现在想问一下，咱们这儿，咱们这个14000人，一定有好学生，我能请你们把六点打出来吗？六步打出来，把咱们这个少妇战法的六步打出来。
	你要有很多好学生。
	首先拿笔记下来，咱们现在因为要合规，我没法给你再放PPT了。首先第一步是什么？
	你们能看到现在这个画面吗？
	首先第一个。
	第一步择时，择时我说我还我还没有没有没有讲过，是因为这个是多方面的。比如说拿我来讲的话，看择时至少要看六个维度。就咱们之前第一节课时候简单的给你们看过那个表，对吧？就是要看六个维度，所以目前择时这是最难的这是最难的。所以是短期咱们说教不明白，所以你们还是看我的大大直播，短短短期就先这样，不要看字体好不好，看好不好。踏踏实实的哥们儿就是最好的食物，一定是最简单的食材，对不对？踏踏实实。
	第二是什么？是颧骨，第二是选股，选股是什么意思？也没讲过，咱们后面都会陆续的讲。等咱们把少妇阵法都讲明白，就这14000人，你们来直播间就别出去，就给我踏踏实实给我站住了，给我站住了。这画面很丑，是因为咱们要挡一会儿挡软件的所有的那些名字。你们刚进直播间的你们就忍一下，我也认为很丑太丑了。但是就这么看好吧，选股什么？
	首先一看政策，二看行业。对，有人懂行，这是阿里巴巴普惠体，不涉及版权，回头我要用一个什么其他的，甭管我管我收版权费了，到时候你们给我结，对不对？这个一看政策，咱们简单，咱们今天好好就详细的聊聊，我觉得挺好，也挺好。
	择时择时看什么？一看大的。经济周期经济周期。什么叫经济周期？就是现在简单来讲，现在是扩张周期还是收缩周期对吧？然后收缩周期是指什么？是指整个的无论是货币政策还是财政政策，它都是收紧的那在这个情况下，一定是在经济的过热的时候，会慢慢的进入到收缩周期。
	那什么叫扩张周期呢？就是你知道咱们今天去地产的软着陆这么多年了，然后包括各行各业，咵咵咵也都调整了，他妈的都一直一直在跌，包括他们进入通缩了，这个时候叫什么？你会看到如果今天要实行适度宽松的货币政策和积极有为的财政政策，这叫什么？这叫扩张周期。一定要分清你现在是收缩周期还是扩张周期。前几年我在直播的时候，我是不是一直跟你们说，踏踏实实的躺好找一个舒服姿势趴好啊。别闹别别去什么想跳槽、创业、改行什么的，别闹，别想炒老板，然后投资的什么也不要买房，也不要去这什么什么想琢磨，想捞点偏门很难的。
	为什么？因为之前一直是收缩周期收缩周期。这个东西背后有有很多那种宏观的数据和宏观的图表，咱们就不展开了。因为这块儿我觉得我能给大家做带来最大的价值就是红绿灯。我说红灯一定是有依据的，我说绿灯也是有依据，你就记住我是红灯还是绿灯就行了。所以一是经济周期，第二是什么？是政策指引。
	什么叫政策指引？比如在过去的六七年里边，在收缩周期里边的时候，无论财政政策还是这个货币政策，它实际上都是收缩的。同时会看到有各行各业打教育业，对吧？然后打互联网打游戏，打这打那各种为什么？因为在经济过热的期间，这些行业都出现了很多的问题，而这些问题可能会带来各种各样的社会影响，所以你就要知道，这个时候你就不能盲目的去去去参与参参与参与其中，弹幕别胡说八道，这是正常应该的。
	我说的教就是当时教培必须打，当时我直播，咱们3四五年前四年前直播，我说必须打，教培必须打。为什么？如果教培不打的话，咱们就会像美国一样，最后能够高考取得高分的，能够高考考到好学校的，能够什么什么公务员上的更好的，一定是有钱人，一定是有钱家庭，一定是这样的。而中国最牛逼的就是高考制度。咱们今天不再展开了，不再展开。
	所以第二看政策指引。比如说你要听话听音儿，你要看知道在国家在干嘛呢，对吧？那前段这是什么？是不是握手了，是不是握手了，是不是开会了。然后包括最近民营经济促进法是不是出来了，然后包括各地，包括异地远洋捕捞是不是也禁止了，明文规定了是不是所有的这些东西政策指引再配合适度宽松货币政策，加积极有为的财政政策以合并起来，就是这个扩张周期里边的政策积极影响的一个逻辑，所以要看政策指引。
	第三是什么？是增量资金，这是最重要的增量资金。就说你甭管你是什么政策，来了多少利好利空利好，我再说一遍，这都是左抽屉右抽屉，就是对作为证券行业的从业人员，或者说作为财经媒体，人家靠这吃饭的，人家是吃饭的。所以说人就是混口饭吃。你不要去看他们，因为市场只要有有任何走势，他们跑的比谁都快。他们就会去分析说到底是有什么利益好，有什么利空，一切都是扯淡，都是男性不重要。
