	特别的像。
	拉升阶段连续小阳，卞中大阳，就算下跌也能快速收回，同时仓位继续上升。为什么他在对倒？比如说这个位置连续，这像这些的都他妈要对倒的，没怎么放量，你看到没有？筹码都在他手里，他连续左账户卖给右账户就行了。
	对倒就他妈对倒起来了，他今天还来了一个盘中洗，你看盘中洗盘，真他妈孙子四点多点盘中洗盘，然后起来了，这里边他还做了一个，还他妈做了一个小洗盘动作，你看了吗？还做了一个小V。有一个美丽的小女孩，她的名字叫做小薇，看见没有？这他妈还洗了两天，还洗了两天，但是他这儿已经大洗过了，同时又是缩量上升，盘子很干净。但是所以说这他妈绝对是个老手，这麒麟会绝逼是个老手。跟你讲他妈就稍微洗了，那么一一脚下就一一脚下，你看到没有？就一一脚下都没有，来个深的20就是一脚下，然后就不给机会了，就他妈起来了。所以这就是咱们一会儿讲这个拉升阶段，连续小阳卞中大阳下跌也能快速收回。
	像什么叫下跌？这叫叫下跌，下跌也能快速收回，同时站在BBI线上面，然后下跌也能快速收回，看到了吗？这就都是把它理解为是拉升阶段持仓继续上升。为什么？无论是对倒还是真买，一定是大资金往上去顶上去的，所以持仓肯定是继续上升的。
	你们没有这个指标，看macd怎么看？就是macd线上二次金叉，就是在这个位置上。你看这下来之后二次金叉，对吧？二次金叉其实这个票非常完美，就在于你即使什么都你会一个二次金叉，你也能赚钱。二次金叉就是你们无数人老在问我说那个么缠中说禅乱七八糟，我说了我看完他那个之后，你们不用研究明白，他自己的很多理论也没有达到自洽。你们就记住一点，所谓的三买就是macd在零轴上的二次金叉，所谓的主声浪，你就记住这一点，你不用去研究什么产生声浪，没有必要。二次金叉这个就叫做主升浪，主升浪。
	你们说的空中加油还不一样，空中加油是指这个叫我跟你讲，兄弟以后会，这是其中一个战法。说你错过过了空中，你错过了二次金叉，你也错过了第一，然后你也不知道补票。那么这一根线选出来连续MCD红柱连续下跌之后的一个再次的上涨，这个叫空中加油。二次金叉仅仅叫二次金叉，这个叫空中加油。未来行情好的时候，市场非常火热的时候，这就叫特扑。也会讲这是关键K。这个特铺之后后面不能4分之3，所以没来，你看就这么起来了，就这样。
	当出货阶段仓位线会连续下降，连续下降MCD要么定背离，要么是由红变绿，基本上就是出货阶段了。仓位线连续下降谁呢？天青色等烟雨，而他在等你就是你看当时咱们现场直播的时候是在这个位置，对吧？在这个位置然后看check他的整个的这个散户人数，是不是？你看这波买上来，那他们散户绝对走走了好好好多人，绝对走了好多人。所以这怪我宣大了是吧？暴露了我操这个等于说你这位置人家整个每天的成交额才13个亿，咱们大哥至少怎么近10亿，我跟你讲在这是赚钱的，因为我是B一进的，我是在他妈这个位置，我去我是这位置B一进的，看见没有？3月26我这位置进的到这儿，我是赚钱的，我是赚钱的。
	然后其实很一切很完美，马上我就等着压二次金叉了，他们就起飞了，所以再次说明不要对股票有感情，以及不要对你擅长的事情抱有不切实际的幻想，好不好？所以最后是他妈的人家真生气了。看到了吗？我讲205破位一定要走，这不205吗？在这位置破位一定要走，不要谈感情，205破位一定要走。然后你们谈感情，就他妈深陷其中，你看人家是真卖，人家真卖，人义无反顾反顾。我操，你看义无反顾，我操的，看到了吗？
	真真生气了，人家很很生气。但是这会不会是他一个新的挖坑呢？对吧？是不是一个挖坑呢？不知道，我现在不敢说了，我不敢说了，无所谓了，我不敢说了，反正那已经烂了，我不敢说了，所以这妆很牛逼，我看不懂好不好？
	我看不懂，但是这会不就这这不挖一坑吗？东这边就这块能赚到钱，这块你赚不到钱，这块其实也没什么依据能赚钱。所以跟你讲为什么人家叫山西什么什么对吧？人为什么名字叫山西？一个他一个山西焦化。我跟你讲，你看这也是一路屁滚尿流，看到了吗？一路屁滚尿流，是不是屁滚尿流？
	人真的是捡，那为什么？因为他是山西大头，给你讲不得不说真的真抠太抠了。给点儿怎么了？不行吗？给点你们一分不给，是不是？
	你看连盘子都一样，这边扒起来一波建仓，你看建仓之后横住了，横住你看到没有？横住八他妈很漂亮是吧？你说你特不一样吗？不行，破位非要破位，你看一模一样，你看8破位。所以说我觉得山西焦化跟山崎坟，这他妈有可能是一个麒麟鬼连连这个破位之后的这个走势都一样。
	一去黄河一去不复返，白云千载空悠悠。你看到没有？是不是完全是白云千载空空空悠悠，一路就空下来了，就都都气装了。所以咱就说这个山西票酒咱们不要碰，好不好？咱们从此定下一个规矩，山西票咱们不要碰，确实厉害，就是算不过他真的算不过行吗？所以咱们定下不要碰，行不行？不光说一口汤都不给，那来了就别想走来了就走不了了。你看一模一样，是不是一模一样，我操跟他妈那个跟坟的一模一样。
	2051破位，啪一破是吧？你要是四块，不不，你要是3.97块不止损的话，你他妈这就一把就下来了，是不是？白云千载空悠悠，所以就导致晴川历历汉阳树，芳草萋萋鹦鹉洲。你只能对着这个长这个长长长江空感叹，但是你的银子已经一去不复返了，是吧？一去不复返了，所以咱就说这玩意儿，说这儿要再破了，这儿要再破了，我觉得你们还是不要抱有感情，行不行？不要抱有感情，你们把主力洗走了，真的把主力洗走了。所以我是觉得怎么说呢？
	就是牛逼，就是山汽大哥牛逼，小万服了，真的非常服。但是同时咱们咱们说咱们不开玩笑，你们记没记住不要被套住205。咱们说提前纪律定好之后，205破一定要走，不要抱有不切实际的幻想，而且未来再出现这种图形以后，你再到这儿勾勾，你说你这那个日线勾了，咱一看它确实有减仓动作，关键下破位了，这位置先不要碰。你看MACD，MAC就是我说了，这俩指标你可以对得上。你看macd跌破零轴以下了，跌破零轴以下，然后同时它又是勾大负值，不要再加仓了。
	有，但是我是做白酒的配置，咱们玩法不一样，我是越低越买，因为我是做白酒配置，我最终要把我的整个的白酒加到20%到3%仓位，就跟我当年加他们的那个那个恒生科技一样，那个那个恒生科技一样。但是你不是我，对吧？我都不看盘，但是你天天看完盘还骂。所以说这种如果说你今天刚进的，你有可能是在坑里拿货，有可能是在坑里拿货。做左侧，记住这你要这儿进的是做左侧，一定要记住。所以这个反正是以后山西的票，你们要看我在辽山西的票的话，你们鄙视我好不好？鄙视我，这太抠了，这他妈太抠了，真的。
	所以为什么山鸡早年他的钱庄很牛逼，他能存存得住钱。205真走了是吗？那你可以表扬你，他能他在外面挣完钱都运回山西，埋在地底下。所以说人家有钱。
	当年慈禧外逃的时候，西逃的时候就是奔山西去的，人知道山西还有钱，所以就是人为什么人家能攒的下来钱呢？就为什么你攒不下来呢？明白吗？
	哥们儿基因问题，基因压制。所以这咱就说以后凡是碰见山西的话，咱们就绕着走，绕绕着走。因为确实你看山西的这个都这样一模一样，一个麒麟会。难受很难受很难受，屁滚尿流。行，然后咱们说回来。所以这就是整个一个骑兵会如何运作。
	整个这个逻辑，哥儿几个这个逻辑大家有没有听明白？这个逻辑。这个逻辑哥几个有没有听明白？
	明白了是吧？好啊，非常好。所以咱们上半场结束，那各位该补水，现在是补水跟放水时间，补水放水时间。
	我再说一遍，你们没有这个指标，这指标我再给你们优化优优优优化，把数据再做优化。你跟我那个粉粉线有还是有很大的不同，所以我还在优化，它还没有我那个粉粉线那么精确，但是我先按这个给你们讲，到时候你们就能对得上。我要说的是什么？我要说的是这个，没有这个无所谓macd记住macd只要到零轴以上就有操作价值，你就可以去做钩的大赋值的少夫战法了。如果他在零轴以下，你做勾的大赋值的时候，基本上容易变成左侧。没图，我操的。来，OK你看。
	你们。
	没有这个指标的时候无所谓，用macd也行，macd你知道它到这儿了，它只要白线在零轴以上，就dif线在零轴以上，你都可以勾到大幅值，你都能吃一根两根儿。但是如果你要是在在这个水下白线下了以后，你看你这位置你就很难受。你就每次你就就每次就你无非是买在连续下跌的那个最低点的位置，但是你没法赚到一个像样的反弹，很难受。你说这也是零轴以下很难受，又又下去又还有新低，然后这波进又没什么依据，对吧？然后崩你妈刚刚拿两天又破费下来就很难受，又零轴以下零轴下你每个钩其实很难受，都在哼哼，在这很难受，很难。
	在BBI现场有两根中阳线，所以你就得反，所以你就得做那种往上的，就不要碰这种大爷图，要做网上的图，往上图什么，你就找所有的dif线在零轴以上，你也不用要这根红线，它也不是百分百准确。我说的这就他这不是百分百就一定能怎么样，因为道高一尺魔高一丈，它只能反映个大概的情况，但是macd你们都有，对不对？只要是零轴以上，你就把它就当当这个多头趋势做就可以了。零轴以上的钩大幅值都可以轮。比如你看这个你看你看这个勾大幅值，是吧？
	然后它是零轴以上的白线，你不用看死叉金叉的，他妈调个参数，他妈要金叉了，所以不用关心死叉多叉，你就看地方线，把他妈这个黄黄，把他妈黄黄黄线，黄线他妈给他隐藏了，也行，无所谓，不看他，我操这他妈缺少，还他妈弄不了。行，就这样。你看，不要看黄线，没必要，只要白线在零轴之上，你这勾大幅值。比如这儿你看你这儿轮的，你能够有两根BBI线上面的这个对吧？你后面你他妈稳稳一手没到止损位，你这他妈还有一根大的，还有一根大的对吧？所以你就看这个DDSDDDDD，你就看地方在零轴之上就能操作。但是他妈水下了，你看他妈到零轴以下了，零轴以下你跟这儿抄底，你跟这儿操操，横着慢慢还破坏了。所以咱们这块强调一下，你不用非盯着这个，你就先往下看，这个足够了，足够用，再说一遍，足够用。
	行，课间休息会儿，补补水。你又成了是吗？你又成了，然后这张截下图，这张图大家截一下。
	来截个图。
	报仇是吧？没办法，咱得合规，咱得合规，报丑太他妈丑了，真的是吧？没办法，哥们。
	给你们调一下。
	截完了，然后你们把之前的也截一下，之前那个翘课的，翘课的把低波红利的玩法截一下。
	截完了吗？然后。
	复盘。
	截一下。
	然后这张图再截一下，如何复盘，怎么落实，截一下。地府线看周线上还是月线？地府线看日线哥们儿。这再接着再再接着图。
	然后。深V玩法截个图，深V玩法，截个图。
	然后红利没接到是吗？5秒，123。45，然后故事这故事无所谓了，这故事你们结不结其实意义不大，你截一下也行。
	12345来，然后这块说怎么大中小，对吧？这个是这样。
	小盘股100亿以下，然后中盘股是100到500，大盘股是500亿以上。
	现在依然是二阶段的初期，行。咱得把它放过来，因为咱得合规。
	OK. 
	现在课间休息，一会儿咱们五分钟，五分钟后回来。咱们过大量的案例，我准备了大量的案例，今天咱就给他彻底聊明白。给彻底聊明白。别着急。
	成了是吗？困了老师那赶紧睡吧，不要跟自己的人性做斗争行吗？相当于以前我们高三时候，班主任就是我们早上谁要迟到的话，就让我们去操场踢球。我们四个男的经常迟到，然后就让我们到操场第一节课第二节课去踢球。然后其他班级就看着就非常羡慕我们我们班主任说不要跟你们的人性作斗争。报告我要去洗个澡，那你就来不及了。哥们儿，你洗完澡回来，我们我们已经都都都都已经又下一站了，下一站天后。
	吃撑了，今天不至于这还没开始讲。行，然后你们先去出货，然后我下面拿，我拿点吃的去。
	录播在动态区，第一个专属动态已经评论区置顶了，你们可以去下载。
	怕什么？相信我不会哭错，谁的错？谁能说的？我的错。
	我还是很快乐，我才不会。
	你别太小看我有什么熬不过。
	行，咱们准备下半场了。
	牛奶不能配可乐。不是豆奶行吗？豆奶能配可乐吗？没动态，怎么可能，专属动态。我这儿都看得见，我都置顶了。
	专属动态第一个。第一个不就是吗？这第一个第一条叫浮生若梦。没过审不可能，你们有没有？专属动态在评论里面，就是专属动态的评论里边我置顶了，就专属动态第一条专属动态的评论区我置顶了，有吧？对吧？OK踏踏实实的这这还能没有吗？你们每天都还得都跟这讨论起来了，跟古巴似的。
	加不了，不是加，是知道加不了，所以咱们不解决了吗？就是直接放出链接了吗？哥们儿，这不已经放出链接了吗？你就是直接，因为你们都是能已经，咱们相当于已经。我这儿有啊，没问题，是吧？没问题，对吧，下载网盘就可以了。外盘他怎么看的？他不。
	伟哥，我在阿姆斯特丹，很想你。为什么阿姆斯特丹呢？玩去了。
	怎么样，都休息好了吗？我们可以往下接着推进了吗？
	哥们儿，你去M4，但你够得着吗？人人高马大的，踏踏实实行吗？
	来吧，开始了，迟到了，不等了。我看走了1000人，现在是1.7万，刚才1.8万走了1000人。来开始了，不等了，关门了。最后一排的同学把那个门关上，汉斯，汉斯格雅。
	对，目前回放只有一期，因为保障所有在船上的兄弟们的利益。因为外面黑产就是B站他官方会去打黑产，外面黑产还是很多的，所以保障你们的这个充电的利益，能够尽最大化去保障。所以一般来讲是十天后，就是十天后上传十天前的这一期。因为你们在现场听的就已经第一时间掌握信息了，对吧？你们要回放录播，只是在反复再去看，那就不用担心什么时效性的问题。还是要照顾最广大的你们这个充电朋友的利益。因为其实对我来讲无所谓，我就现在就所以你们可以自己录，你们可以自己录。
	不是15天，15天那不就太久了，所以就我往前再提五天。来咱们我这儿就这些。
	有一些P. 
	PT我没给你们放，是在于咱们要合规，不能出现个股的名字。所以咱们就聊，先聊几个以前我们亲自做的一些盘。
	1000人踢球去了是吗？
	OK. 
	把我缩小。来了。来首先看刚才这个，咱们已经基本上明白了，对吧？这是咱们的经典案例，记住这是经典案例。你可以切换成你的m macd去看啊，macd就是特征，主要是这个就是填坑出坑填坑的这个过程，这是初步建仓，这儿你就要观察，观察之后你就等进入射程，进入射程之后，在这个位置MACDDF在零轴线上看到了吗？不用关心金叉死叉，你只要把这个位置参数一调，他妈这就就是警察周期放大，不用那么敏感。所以在在这个位置你主要看白线是不是在零轴之上，零轴之上放量，缩量下来勾的大幅值就概率就会比较大。这种少妇占的概率比较大，就是你别到坑里找，就是你你尽量你不要去他妈这种坑里找，就是像这种，这种你不要在这种坑里找，你要到这种地方去找到零轴之上的白线，在零轴之上的地方去找，也就是咱们说的N型结构，N型结构不断的底部抬高，高点抬高，在这边去找，概率就会大很多。所以你就像你们之前说什么很多完美图形，它到底完不完美，咱再说一遍，大野图就不要碰了。
	然后看第二个，我就不说名字了，回头你们又又说我又说我宣这个是你们很多人都在做这个票，都做这个票了，很多人在做这个票，就是你们做这个票的逻辑，就是咱们之前教的那个补票战法，对吧？标不标准？虽然说这没有完全勾回去，但是还行，咱们说还行，没有完全勾回去，但是还行，还是刚才说的这意思就是说你这儿没有依据，你这儿是赚不到钱的，没有什么依据。然后你说你这样下去，你也没有什么依据，这波你能赚到钱对吧？没有什么依据，但是你这儿就有依据了，1233叉戟对不对？
	然后你看这天就标准了，你看收回来标准了是吧？洗了个大的，然后123标准了。很多人他妈以为又是假特噗，对吧？就是上长上影这儿来上影线完了就是你古巴，古巴就该骂了。说说这个恶庄，你又想骗我，你又搞假突破，老子收盘钱全卖。当天晚上还在古巴高兴，是吧？结果第二天你看连续两更涨停，连续两天涨停，对吧？这真吃到是你们好多人迟到了，你们他妈发大量发我这个作业，所以我才聊这个案例吗？
	那的原理为什么呢？因为一白线在零轴之上，对不对？然后同时你看人家这个是正儿八经一路在加仓起来的，从这儿开始一路这是第一波人家这第一波减仓，而且你看为什么这什么标准的，明显麒麟会，标准其实会。你看这一根跟长上影两个，这虽然是假阴真阳，但是你看这俩刚才说什么拿筹码然后洗，但是他的方法不是横着洗，他妈说明人实力操人实力比较强，人就他妈往上顶着买，人这波就顶着买，顶着买，然后啪再洗洗下来。
	你看然后后面，你看又来两根儿，是不是很孙子，非常孙子，这又来两根，一模一样。我操这手法，这手法，这是30 38号技师，这他妈手法一样，我操你说这两根一样对吧？这两根一样，他妈给位置倒过来了一样。这种图就属于麒麟会的痕迹非常的明显。然后你看人家一直在走，但我觉得他这就像锁仓拉升的正儿八一波下来然后洗，然后一波下来就把它洗，然后再弄，然后再往上走，后面八再洗。所以这就按照纪律，两根起来以后减仓一半，后面你就等着跌破PPI线就行了。如果不跌破，那你就拿着，其实也还好。
	然后咱们聊一下这个玩意儿，这玩意儿很多人包括我自己也是。我其实我他妈的我操我他妈的在我观察的很久了，我是在这一波就观察到了，就在这边儿去年9月份的时候，那一波那波我就观察到了。你看他妈一直在坑里，就属于一直一直在坑里，你看大坑，一直在坑里，在一直在坑里，去年我就看了，因为这波你看明显这是进来的人，进来之后他妈没有走，他没有走股价一直这个位置，你看这位置18块，这位置也18.2块，但是实际上已经拿了这么多仓位了，没有走。但是，我说我不碰，所以说这个没有赚到也合理，我赚不了这个钱，然后就在这位置，你看这个人稍微减了点仓，下来点，下来点。
	操操操，然后这个在坑里，你看从这到这位置是横着不变的。但是实际上苍蝇从这儿到这儿了，又是勾大赋值，就勾大赋值就这根，操负-10点几，这他妈应该就4月7号，4月7号那天其实一个特别好的点，特别好的位置熄火，没有注意擦。然后你看后面是这一波吗？他妈就鸡巴巴就直接就起来，但是也不遗憾，因为我说了，我我我赚不到军工的钱。但是这个很标准，就是就这波他们就这波的仓位见见的仓位，这波人他们就跟光线一样，就跟光线是一样的。跟着那这边要等着，等完以后后面八天时地利人和一飞冲天。
	给大家看看这个为什么不让大家碰地产，为什么不让大家碰地产？就在于你看地产当时924做了一波反弹，而这波反弹吃不上，就在于没有依据。你就在这位置怎么可能吃得上大坑填坑肉，记住填坑跟出坑肉这波是吃不上的，没戏是不是？
	然后在这位置人就已经开始，这就他妈撤了，这波就标准的这波进的人就这么撤了，其邻国就走了，一路向下一路向下，所以就地产都这样，地产都这样，看见没？这是壳子，地产都这样一路向下。只要弹起来，那边麒麟会就会出，弹起来麒麟会就会出，你吃上了。行，哥们儿你吃上了。行，可以，但是我对我来讲没有依据，你牛逼。来，然后下面一个。
	比如这个，你看这就是他妈的宕宕机违章，我不懂，所以咱们之前聊过的，我不懂时赚时代的钱，我不是这个时代的，所以我不懂，所以你们有人知道你们就牛逼。这是这这简直就一路加仓，任何的回调都他妈是买点，就是任何一次勾大幅值都他妈是买点，尤其这位置更开心了。5月5月12号5月12号640直接到1015，这就是认知的钱了。这个我赚不到，老铺这我赚不到，所以这就是学习了，观赏纯观赏。但是又来了，你看又来了，-3.4492又来了，我操，但是这我说没有任何推荐。哥们儿我这因为这他妈已经从54到1000块钱了，就别闹了行吗？这就是2024年7月份，一年时间从他妈54块钱到1015。这玩意儿就属于掐头去尾，这钱就不赚也罢，压到2000我也不遗憾，我也也不遗憾，这太挑战人性了。
	要不我买买200万试试是吧？反正就我我但我我我不推荐，他妈的这就没有办法了，这就属于我要是我要是这个年代，我要是这个年代的人，就是我要两千后，或者是我要是女的，我要90后女的，那我可能我会在这个任何就跟我干敏儿到37我敢加仓一样，你知道吧？但是我不懂这个，就我们时代都是提，你那最差也是谢瑞麟，所以这我不不不理解，我开玩笑。不，没有任何推荐，没有任何推荐。就是我就是这个这他妈挺有意思的，我就是这个这他妈挺有意思的，挺有意思，他妈太标准了。我那七篇文章里边怎么说的，完美图形干错也要干，是吧？但是我说实话，我再擀擀，我再感受一下，咱们接着往下来。这个是一个你们没有见过的票，这个你们没有见过。操怎么卡了，我操卡了，等会儿。卡没了，他太激动了，他太激动了，等会儿，卡没了，他太激动了。
	那看来我就不能干了，这不是50什么直播的，这个是什么是那个什么什么来着，就叫ROG的什么来的。那我那可能就是老天给我的指引，不让我干，就稳一手不干。
	来。
	这个刚才说哪了，来了。
	你们能听到背景音乐吗？
	能是吧？OK来，你看就这个票这个票，这是历史数据，就是差点。因为当年早年那个非常古老的数据，说中国这边的软件的数据非常差。这还是08年那会儿，07年08。但是意思是到了他这么扒起来一看，就是他妈我们玩的这这这这波，这波就是一路建仓洗盘再拿洗盘再拿再洗煮生结束，但是货一直没出去，一直没出去，所以你看到这儿再拉起来再出，看到吧？就首先到这儿下去，因为有有外盘跟风，有外盘跟风，然后这波下来等于说他妈老老鼠仓先走的，当时特别明显，老鼠仓先走的，攻击咱们做一反弹，这位置又没出去，然后又他妈下来一波，然后又使劲又回到前高的位置再接着出，一直就没有出去，然后一直到这个位置才基本出完，出完就把盘子一砸就不玩了，就走了。所以这也是一个就是我在验证这个数据准确性的时候，我看到当年的一个实践的一个案例。
	最近很火的这个草坪不不不是不是青稞，那个草坪也是草坪为什么能能长？我再说一遍，草坪能长也是有原因的，是在于主力在这一波老齐金会这波看到没有人已经完成建仓。就是刚才我说的抢筹砸盘，想低价拿筹码，再来一次再砸盘，低价拿筹码，最后顺势4月7号挖一大坑，挖一大坑，然后出坑，出坑时候这下是没有依据的，除非你前面一直关注这个票，你在这个位置上，你你你你你敢买你知道你知道庄家被套了，对吧？你敢买，然后出坑了，出坑，然后后面你就找买点，我操找买点给不给勾赋值，给不给不给不给，那就没了。那人一波出坑之后，人一波就蹬起来了。看这个给了吗？洗盘给了，洗盘给了，补票给了一个小的接一个大的，等他妈的收回去之后就可以进了，收回来了，但这个也不标准，不完美，所以说这个票错过就错过了。只是说拿它看这个前面说为什么他能一下一气呵成，这样就跟光线道理是一样的。
	一定是前面这个区间看见了吗？一定是这个区间人有人已经是早就运作的了，早就运作了，接着扳起来。目前顶部大风车，是吧？
	来这个这我一直是有一个底仓的，这玩意儿就非常明确。现在46达到130了，虽然说它的基本面不支持536亿肯定是在天上了。但是怎么说呢？击鼓传花，击鼓传花。所以这个大家感受一下就行了。
	但是同时咱们那天聊的什么？聊的是贵替，记不记得？聊的是贵替，就是毛哥是贵替。我说未来中国制造这波中国新消费一定是贵替，跟泡泡似的，它是贵替。
	然后你们有人给我发私信说，你看看这个玩意儿，你看看这个哑呀，这个哑。然后我看了一下，就是平替是一般的，你看没有平替一般，所以概念还是不一样。为什么他就他妈实际上这是一个还是一个下跌趋势呢？你看标准下跌趋势，N型下跌趋势。所以我觉得这个哑还是一剖析，就是没什么。这块他他想支棱，但是没支棱成。
	你看他们下来了，这块有人想做一个像娜娜那种似的，但是你看人这波是起来有人人就是游资纯他妈瞎搞。因为没有建仓，你看吗？因为没有建仓，他就走不出那种共创，对不对？没有建仓，所以他这是一个标准的。咱们之前早期装不玩了，然后就这什么游资搞一下反而也没搞明白。所以我我我是觉得现在的逻辑可能至少目前来看还是一个贵替的概念，跟泡泡玛特也是贵替，泡泡玛特替的是迪士尼这种，但是你看这玩意儿平替那就差点意思是吧？
	那叫什么还是什么叫什么优品来着？你们上回让我那哥们儿就以前做过，还有个小小底苍纪念了。那么明明名创看看什么情况，你看他为什么也不行，是吧？在这位置为什么也不行？就在于他们这块没有人建仓。所以这边当时炒泡泡，然后来了波儿游资就进了这么点儿。你看就进了这么点小游资，然后结果业绩出来，一打跟着连他妈这个跳空还没有收回来，就是平替还是不太行，平替，我觉得现在市场逻辑不是平替。你们很多人是吃到这个了。
	你们吃到这个了，是不是？
	我一打开，很多人应该就不要打名字，你们很多人吃到这个了，对吧？标准的少妇-3.12，然后股价不怎么跌，还在BBI线之上是吧？然后少妇战法很从容从容从容是吧？这不清清爽爽，这是人家在整个一个，所以这个主力就是买，就是一个字，这主力就是干，这是其这是启动会就是干。人人狠话不多，连他妈盘子都不怎么洗，这他妈当时配合那个贸易战洗了一下，这大哥从这开始入场，你看大哥这开始入场，大哥入场之后就是11路一路狂飙，所以这他不是平替他，其实他整个的一个。
	所以你看所以人就支棱，你看到没有，对吧？但什么时候结束不知道。我想说的是，咱们周日讲完之后，真有聪明的朋友，学霸当天晚上也给我发消息，然后他是什么他玩什么什么卡，然后他就有有2拨人玩卡游的，然后说找他供应商找到了一个这个，然后说正好我直播完了以后是勾到大幅值。
	勾到大幅值，如果你没有这个指标也无所谓。但是你看这就是一直在加仓往下像像不像娜娜，像不像娜娜？正好是周一，他妈就轮进去了，然后两根今天还盘中涨停。你别看这个小，是他妈也是涨龄，今天也是涨停。是是你是吗？你干了是吗？所以这就是听得懂，我每礼拜给你们肯定不是乱讲，对吧？
	赚时代的钱。卡游没上市的时候，但是我觉得这个他有点高了，因为这波但是有可能是我格局小，对吧？但是就算做个反弹，当反弹看两根起来了，至少卖一半，后面就不动了，就可以不动了，对吧？你就等着他们什么时候跌破就完了，毕竟这个买点挺好的，周一的买点很好。然后还有一个人，是他说他玩的这个，然后这个我没有细研究，因为我不懂，不是这个叫什么来着？
	好像是这个，好像是说这是什么哪个的供应商。他们研究出一这个三真下20，虽然说这个图形不是很完美，但是人家就干了。干完以后昨天来一根7%，今天早盘也往上冲过涨停，也是两天后面给我报喜。所以说这个真的是，我说咱家人才太多了，你们马上就能转化。牛逼，你们马上就能转化，所以咱们接着来。
	像这个你看这就属于什么？跟刚才那个大哥是一样的，哥们儿就是买买完就横着完要择基。泽连斯基之后，人家就一路想买，人就他妈就买买买起来了，像这个这就埋起来，也是在四月，这包括4月7号都没给买点，你看大哥仓都不减，大哥就是买。然后来一这个你们当时有人刺心的观众来的时候，老问我这个，我说他妈这没什么可问的。但是，实际上你看它的逻辑是什么？比如说你少夫站台，每天选票在去年24年9月18号时候选到一这个对吧？-1.44起来下去，像不像娜娜连续放量出坑对吧？出坑填坑，出坑填坑，然后仓位到这儿连续缩量洗盘，然后勾大幅值买进去以后，就他妈连等都不等，这他妈这就没办法，这他妈。
	就是牛逼。
	这就是牛逼。然后。
	沓子沓子就是沓子真好，沓子他妈这波也没准，要他妈要出这他这坑了，我操。那他的人人真在买，外资真在买，可能因为外是不是外资认识什么萨洛蒙，什么始祖鸟什么，是不是因为他们认识，他们不知道立命不懂，所以你看他他踏的这个有点意思，有点意思，所以每回勾到大赋值的都是好机会，马上就给一根。你看，所以这他妈有点意思，有点意思。
	然后反观。你看这就不行是吧？这真的在卖，这真真在卖。你看这个当时这波其实我挺开心的这波他妈我说成了，因为这不是真在买你看真在买，他们同时也真在卖，你看人家也真在卖。所以这时候这且了，你看这不且等了，跟你讲这且等了一剖析，对这种一抛西完全已抛弃，这不纯靠信仰，跟你讲纯靠信仰，所以你们都都撤了，让我一个人去去去感受这份信仰行不行？没想到格尔基有点跟山西一样，有点烂了。但是没关系，我有信仰，i believe I can fly, 爱不理i can touch the sky，所以这份孤独就让我留给我行不行？你们该撤都撤，我去查一下整个李宁高管里面有没有山西血统，我去研究一下。所以这就是一个明显无庄的票，所以每天就他妈乱来。所以有人买一点他就能扛一点，只要没人卖他就能涨，一有人卖他就熄火。
	然后是这个，我跟你讲，这有点意思，这你们也有很多人有我就不宣了。这牛逼，你看它整个总市值才67亿，而且他最高到过3到过31块，现在才六块，对吧？这你要后面三胎四胎出来，你看大哥一直在买，大哥一直在买，大哥挖坑也在买，大哥一直在买，大哥就在买。所以我觉得他就是主力这块跟一个70会在等待着什么？几个政策出来，后面会不会一飞冲天，对吧？咱们就感受一下，反正这挺好的。我觉得这个就从案例来讲，你看这么挺好，大哥不说话，大哥就是买。
	然后你看，这有点意思。比如这个大幅值，你先选出来之后，结合这个包括它白线之上，把把白线在零轴之上。那这也是大哥，这也一直买大哥这盘子他做的太丑了，爆丑。
	但是为什么他下去之后，屁股那样流畅的下去，还能流畅的上来？就在于他是在建仓的过程，整个一建仓的过程，所以这波他妈起的就比较快，1233根涨停，三根涨停。但到这其实还没有完，还没有开始，真正出货量也不大，也是塑料的啊。你看这个刚才我讲过了。
	然后注意这个，就是为什么这玩意儿它能够当时那个稳定币，它能够来一下，为什么？对吧？你看这儿也有往下勾勾，历史上任何勾其实都还是可以，为什么？因为人家他妈一直在建仓，你看人从坑里，人他妈从坑里出来就在建仓，建完仓之后横着就不动了，为什么？因为没有时机，然后一到时机来霸起来，我觉得后面是不是就开始他们该该出货了，就该出货了。但是他在BBI线之上不猜测跟随不猜测。
	然后这个很稳健，从他来看的话娜娜估计也没有见顶，为什么？因为他很稳健。娜娜的大哥很稳健，就是从上一波创新药第一波进来了之后，你看大哥来了是吧？大哥来了，你看大哥非常有气势，大大哥入大哥入场有仪式感，必须长阳入场，然后洗长阳入场再洗，再他妈两根再洗再来再洗，再来再洗。就是大大哥很有仪式感，大大哥很有节奏。
	大哥是不是扛铁的？大哥是不是老去健身房？你看咱就说把这图画到这儿，就是给X光扫描，一切尽在掌握。爱立信T39MC中文双屏手机，一切尽在掌握，决胜于千里之外，对吧？他妈这个图形咱拿这个XX光机一扫描哟，我操大哥很有节奏，大哥很有仪式感。所以你看他们家往下再如果到时候后面给一个单帧，就不给一个少妇机会入场，这不就成了吗？是不是节奏太好了。
